gene,direction_consistent_all_studies,min_abs_shift,mean_shift,OSD-48_flight_minus_ground,OSD-379_flight_minus_ground,OSD-463_flight_minus_ground
DSCC1,False,0.0051057711243629456,-0.004659095882541607,0.0051057711243629456,-0.040733089670538916,0.02165003089855115
TP63,False,0.005094184695432583,0.0020414585506336558,-0.007294251397252083,0.005094184695432583,0.008324442353720467
MPZL2,False,0.005083282788594712,0.031142565939161464,-0.12294673919677734,-0.005083282788594712,0.22145771980285645
RNF217,False,0.005082607269287109,0.03515396912892658,-0.20259897708892827,-0.005082607269287109,0.3131434917449951
PRDM14,False,0.005081734620034695,0.0022183545554677656,-0.015482880920171738,-0.005081734620034695,0.02721967920660973
KLHL5,False,0.005081137021382798,0.1202424711651271,-0.07904086112976083,-0.005081137021382798,0.4448494116465249
ZNF385C,False,0.005076029493163029,-0.013526437462617958,0.00536813363432884,-0.05102347551534574,0.005076029493163029
DNAJC1,False,0.005071242650350083,0.015056278970506506,-0.015974044799804688,0.06621412436167429,-0.005071242650350083
H2AC1,False,0.0050674378871917725,0.002098034653398725,-0.0050674378871917725,0.0389812837044398,-0.02761974185705185
ELN,False,0.005061137676239058,0.06638010905848611,-0.005061137676239058,-0.23194743196169532,0.4361488968133927
WNT9B,False,0.005057732264200865,-0.02695554428630405,-0.12918280363082885,0.005057732264200865,0.043258438507715824
TMEM63C,False,0.005052041262388229,-0.022928552019099394,-0.048403571173548696,0.005052041262388229,-0.02543412614613771
PAK4,False,0.005051553249359131,0.009928852981991199,-0.07339792251586896,0.09813292821248343,0.005051553249359131
PCDHB6,False,0.00504968985915184,0.02476392856074704,-0.00504968985915184,0.06240778354307017,0.0169336919983228
LRRC9,False,0.005038224160671234,-0.044529958731598325,0.005038224160671234,-0.040703389483193554,-0.09792471087227267
SLC8A2,False,0.005036453095575173,-0.006113605221940412,-0.008656314760446548,-0.01472095400094986,0.005036453095575173
IFIH1,False,0.005033969879150391,0.0726366784837511,0.2843328952789306,-0.06138888994852687,-0.005033969879150391
TGS1,False,0.0050324201583862305,-0.036354690127902746,-0.21322469711303738,0.0050324201583862305,0.0991282065709429
GPRC6A,False,0.0050295743470390635,-0.0027700090780854226,-0.008117877691984177,-0.005221723889311154,0.0050295743470390635
FOXO6,False,0.005018816329538823,0.0026117802701062635,-0.0220434732735157,0.034897630413373314,-0.005018816329538823
