model,training_pool,reference,program,omitted_id,response_attribution_gap,retains_full_sign
expression,OS,training_ground_mean_TPM,inflammatory_signaling,GSE298393:GSM9013404,0.1263507916397087,True
expression,OS,training_ground_mean_TPM,inflammatory_signaling,GSE298393:GSM9013405,0.1314327717755998,True
expression,OS,training_ground_mean_TPM,inflammatory_signaling,GSE298393:GSM9013406,0.11567345387499808,True
expression,OS,training_ground_mean_TPM,proteostasis,GSE298393:GSM9013395,0.05834171650555821,True
expression,OS,training_ground_mean_TPM,proteostasis,GSE298393:GSM9013396,0.07878725537816558,True
expression,OS,training_ground_mean_TPM,proteostasis,GSE298393:GSM9013397,0.036509875595304664,True
expression,OS,training_ground_mean_TPM,proteostasis,GSE298393:GSM9013404,0.06169123827565924,True
expression,OS,training_ground_mean_TPM,proteostasis,GSE298393:GSM9013405,0.06752443690725572,True
expression,OS,training_ground_mean_TPM,proteostasis,GSE298393:GSM9013406,0.044423172296113464,True
expression,OS,training_ground_mean_TPM,muscle_remodeling,GSE298393:GSM9013395,0.20190137811933062,True
expression,OS,training_ground_mean_TPM,muscle_remodeling,GSE298393:GSM9013396,0.1582373274846105,True
expression,OS,training_ground_mean_TPM,muscle_remodeling,GSE298393:GSM9013397,0.15984797529899308,True
expression,OS,training_ground_mean_TPM,muscle_remodeling,GSE298393:GSM9013404,0.17860485778000673,True
expression,OS,training_ground_mean_TPM,muscle_remodeling,GSE298393:GSM9013405,0.16221589389465463,True
expression,OS,training_ground_mean_TPM,muscle_remodeling,GSE298393:GSM9013406,0.1791659292282729,True
expression,YA,training_all_mean_TPM,mitochondrial_expression,GSE298393:GSM9013398,0.2415283029978035,True
expression,YA,training_all_mean_TPM,mitochondrial_expression,GSE298393:GSM9013399,0.25984706296838067,True
expression,YA,training_all_mean_TPM,mitochondrial_expression,GSE298393:GSM9013400,0.2735254982939408,True
expression,YA,training_all_mean_TPM,mitochondrial_expression,GSE298393:GSM9013410,0.2429101659057643,True
expression,YA,training_all_mean_TPM,mitochondrial_expression,GSE298393:GSM9013411,0.2688326173476904,True
expression,YA,training_all_mean_TPM,mitochondrial_expression,GSE298393:GSM9013412,0.2631580810066704,True
expression,YA,training_all_mean_TPM,dna_repair,GSE298393:GSM9013398,0.11650205914334909,True
expression,YA,training_all_mean_TPM,dna_repair,GSE298393:GSM9013399,0.1262729002712109,True
expression,YA,training_all_mean_TPM,dna_repair,GSE298393:GSM9013400,0.13149393259019354,True
expression,YA,training_all_mean_TPM,dna_repair,GSE298393:GSM9013410,0.11356079674289117,True
expression,YA,training_all_mean_TPM,dna_repair,GSE298393:GSM9013411,0.13280835900113447,True
expression,YA,training_all_mean_TPM,dna_repair,GSE298393:GSM9013412,0.12789973626072793,True
expression,YA,training_all_mean_TPM,oxidative_stress,GSE298393:GSM9013398,0.038948621911468924,True
expression,YA,training_all_mean_TPM,oxidative_stress,GSE298393:GSM9013399,0.04225223116985612,True
expression,YA,training_all_mean_TPM,oxidative_stress,GSE298393:GSM9013400,0.037495783431319825,True
expression,YA,training_all_mean_TPM,oxidative_stress,GSE298393:GSM9013410,0.03573279673456892,True
expression,YA,training_all_mean_TPM,oxidative_stress,GSE298393:GSM9013411,0.040754299080812434,True
expression,YA,training_all_mean_TPM,oxidative_stress,GSE298393:GSM9013412,0.04220954069726353,True
expression,YA,training_all_mean_TPM,inflammatory_signaling,GSE298393:GSM9013398,0.043750199816693244,True
expression,YA,training_all_mean_TPM,inflammatory_signaling,GSE298393:GSM9013399,0.05312756934348483,True
expression,YA,training_all_mean_TPM,inflammatory_signaling,GSE298393:GSM9013400,0.0060666869708507765,True
expression,YA,training_all_mean_TPM,inflammatory_signaling,GSE298393:GSM9013410,0.03579456865239333,True
expression,YA,training_all_mean_TPM,inflammatory_signaling,GSE298393:GSM9013411,0.032730896736854906,True
expression,YA,training_all_mean_TPM,inflammatory_signaling,GSE298393:GSM9013412,0.03441899074178062,True
expression,YA,training_all_mean_TPM,proteostasis,GSE298393:GSM9013398,0.10733870964792572,True
expression,YA,training_all_mean_TPM,proteostasis,GSE298393:GSM9013399,0.11053053034096529,True
expression,YA,training_all_mean_TPM,proteostasis,GSE298393:GSM9013400,0.11759521567854676,True
expression,YA,training_all_mean_TPM,proteostasis,GSE298393:GSM9013410,0.10762551021075874,True
expression,YA,training_all_mean_TPM,proteostasis,GSE298393:GSM9013411,0.11507023765743579,True
expression,YA,training_all_mean_TPM,proteostasis,GSE298393:GSM9013412,0.11276870779924325,True
expression,YA,training_all_mean_TPM,muscle_remodeling,GSE298393:GSM9013398,0.22644918096305044,True
expression,YA,training_all_mean_TPM,muscle_remodeling,GSE298393:GSM9013399,0.2229315928059461,True
expression,YA,training_all_mean_TPM,muscle_remodeling,GSE298393:GSM9013400,0.21472580915045406,True
expression,YA,training_all_mean_TPM,muscle_remodeling,GSE298393:GSM9013410,0.21636077724419428,True
expression,YA,training_all_mean_TPM,muscle_remodeling,GSE298393:GSM9013411,0.2203909507438528,True
expression,YA,training_all_mean_TPM,muscle_remodeling,GSE298393:GSM9013412,0.2273548549314035,True
expression,YA,training_ground_mean_TPM,mitochondrial_expression,GSE298393:GSM9013398,0.24152830299780348,True
expression,YA,training_ground_mean_TPM,mitochondrial_expression,GSE298393:GSM9013399,0.25984706296838056,True
expression,YA,training_ground_mean_TPM,mitochondrial_expression,GSE298393:GSM9013400,0.27352549829394074,True
expression,YA,training_ground_mean_TPM,mitochondrial_expression,GSE298393:GSM9013410,0.24291016590576422,True
expression,YA,training_ground_mean_TPM,mitochondrial_expression,GSE298393:GSM9013411,0.26883261734769026,True
expression,YA,training_ground_mean_TPM,mitochondrial_expression,GSE298393:GSM9013412,0.26315808100667026,True
expression,YA,training_ground_mean_TPM,dna_repair,GSE298393:GSM9013398,0.1165020591433491,True
expression,YA,training_ground_mean_TPM,dna_repair,GSE298393:GSM9013399,0.12627290027121088,True
expression,YA,training_ground_mean_TPM,dna_repair,GSE298393:GSM9013400,0.13149393259019354,True
expression,YA,training_ground_mean_TPM,dna_repair,GSE298393:GSM9013410,0.11356079674289116,True
expression,YA,training_ground_mean_TPM,dna_repair,GSE298393:GSM9013411,0.13280835900113444,True
expression,YA,training_ground_mean_TPM,dna_repair,GSE298393:GSM9013412,0.1278997362607279,True
expression,YA,training_ground_mean_TPM,oxidative_stress,GSE298393:GSM9013398,0.03894862191146891,True
expression,YA,training_ground_mean_TPM,oxidative_stress,GSE298393:GSM9013399,0.0422522311698561,True
expression,YA,training_ground_mean_TPM,oxidative_stress,GSE298393:GSM9013400,0.03749578343131981,True
expression,YA,training_ground_mean_TPM,oxidative_stress,GSE298393:GSM9013410,0.035732796734568896,True
expression,YA,training_ground_mean_TPM,oxidative_stress,GSE298393:GSM9013411,0.04075429908081242,True
expression,YA,training_ground_mean_TPM,oxidative_stress,GSE298393:GSM9013412,0.042209540697263515,True
expression,YA,training_ground_mean_TPM,inflammatory_signaling,GSE298393:GSM9013398,0.0437501998166932,True
expression,YA,training_ground_mean_TPM,inflammatory_signaling,GSE298393:GSM9013399,0.05312756934348489,True
expression,YA,training_ground_mean_TPM,inflammatory_signaling,GSE298393:GSM9013400,0.0060666869708507765,True
expression,YA,training_ground_mean_TPM,inflammatory_signaling,GSE298393:GSM9013410,0.03579456865239333,True
