model,training_pool,id,label,reference,program,renormalized,logit_change,matched_random_median,matched_random_abs_percentile,matched_random_signed_percentile
bridge,OS,GSE298393:GSM9013396,0,training_all_mean_TPM,dna_repair,False,0.304265221872356,-0.08931106674856434,0.8,0.9
bridge,OS,GSE298393:GSM9013396,0,training_all_mean_TPM,dna_repair,True,0.2497446993934318,-0.0965652099233693,0.75,0.85
bridge,OS,GSE298393:GSM9013396,0,training_all_mean_TPM,oxidative_stress,False,0.0039499652157246,-0.02889105931501485,0.05,0.65
bridge,OS,GSE298393:GSM9013396,0,training_all_mean_TPM,oxidative_stress,True,-0.031396287395637,-0.07027491963765435,0.25,0.65
bridge,OS,GSE298393:GSM9013396,0,training_all_mean_TPM,inflammatory_signaling,False,-0.4369015102836329,-0.08498312543872535,1.0,0.0
bridge,OS,GSE298393:GSM9013396,0,training_all_mean_TPM,inflammatory_signaling,True,-0.6206534379307413,-0.1102874796836204,1.0,0.0
bridge,OS,GSE298393:GSM9013396,0,training_all_mean_TPM,proteostasis,False,-0.1524679137166913,-0.02023986435324325,0.8,0.05
bridge,OS,GSE298393:GSM9013396,0,training_all_mean_TPM,proteostasis,True,-0.276551719400004,-0.009484410343930001,0.85,0.05
bridge,OS,GSE298393:GSM9013396,0,training_all_mean_TPM,muscle_remodeling,False,-0.5749521050572639,0.15362068029287454,1.0,0.0
bridge,OS,GSE298393:GSM9013396,0,training_all_mean_TPM,muscle_remodeling,True,-1.3829079938941504,0.0476139661698198,1.0,0.0
bridge,OS,GSE298393:GSM9013397,0,training_ground_mean_TPM,mitochondrial_expression,False,0.0964645059987105,0.10389892250077534,0.25,0.5
bridge,OS,GSE298393:GSM9013397,0,training_ground_mean_TPM,mitochondrial_expression,True,0.0785482075732488,0.0667524379566657,0.2,0.5
bridge,OS,GSE298393:GSM9013397,0,training_ground_mean_TPM,dna_repair,False,0.2217819928405333,0.001999107378424,0.8,0.85
