model,training_pool,id,sample_index,label,reference,program,positive_allocated_logit,opposing_allocated_logit,supporting_share_percent,opposing_share_percent
expression,YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,inflammatory_signaling,0.27326411631671343,0.052706627718386356,2.4794754350411994,0.5519119497497756
expression,YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,proteostasis,0.05522353988925656,0.09601647180818026,0.5010735124575695,1.0054264607268928
expression,YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,muscle_remodeling,0.17837588008153035,0.11623866716664814,1.6185023442792899,1.2171810682905915
expression,YA,GSE298393:GSM9013399,4,0,training_ground_mean_TPM,outside_six_programs,10.3448833613355,9.046041509640009,93.86480932267577,94.72467929040317
expression,YA,GSE298393:GSM9013399,4,0,training_all_mean_TPM,mitochondrial_expression,0.02683571456356381,0.21833858764323594,0.3560240146219822,1.518504277309186
expression,YA,GSE298393:GSM9013399,4,0,training_all_mean_TPM,dna_repair,0.059896015806026146,0.153834202572808,0.7946283657404957,1.0698882736429274
expression,YA,GSE298393:GSM9013399,4,0,training_all_mean_TPM,oxidative_stress,0.018720224446853045,0.033273858972124086,0.2483574434512132,0.23141350192441967
expression,YA,GSE298393:GSM9013399,4,0,training_all_mean_TPM,inflammatory_signaling,0.19508509684744008,0.0819046924031029,2.5881546477188397,0.5696319056026373
expression,YA,GSE298393:GSM9013399,4,0,training_all_mean_TPM,proteostasis,0.040401087087515636,0.126156569934799,0.5359930769094998,0.8773954852619589
expression,YA,GSE298393:GSM9013399,4,0,training_all_mean_TPM,muscle_remodeling,0.11823819271273298,0.19522427776664364,1.568642264081544,1.3577485501904998
expression,YA,GSE298393:GSM9013399,4,0,training_all_mean_TPM,outside_six_programs,7.078437273634202,13.569797453714646,93.90820018747644,94.37541800606839
expression,YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,mitochondrial_expression,0.04417410953214433,0.07309756990876592,0.5152707883433312,1.0905642652077685
expression,YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,dna_repair,0.05555461241684017,0.06793634048704153,0.6480191505683506,1.0135623569514915
expression,YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,oxidative_stress,0.017454470338558153,0.015479669069962353,0.20359841515129162,0.23094576120674104
expression,YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,inflammatory_signaling,0.169980564720201,0.03826646821417201,1.9827455610098617,0.5709087571881153
expression,YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,proteostasis,0.04038146715964659,0.0672480911304698,0.47103134931719337,1.0032941612403867
expression,YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,muscle_remodeling,0.13221332832621216,0.08643643270840146,1.5422080181734004,1.289570704490879
expression,YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,outside_six_programs,8.113230743905362,6.354264670653794,94.6371267174366,94.80115399371462
expression,YA,GSE298393:GSM9013400,5,0,training_all_mean_TPM,mitochondrial_expression,0.011358929122856413,0.1754371278480449,0.22011111287984003,1.5120736747119563
expression,YA,GSE298393:GSM9013400,5,0,training_all_mean_TPM,dna_repair,0.036347602477678535,0.11894991534833217,0.7043367508806125,1.0252164853223977
expression,YA,GSE298393:GSM9013400,5,0,training_all_mean_TPM,oxidative_stress,0.0076149519104931705,0.030735990923663567,0.1475610527556158,0.2649101892622852
expression,YA,GSE298393:GSM9013400,5,0,training_all_mean_TPM,inflammatory_signaling,0.09866055480905887,0.07432354245701972,1.9118249864476164,0.6405865926962524
expression,YA,GSE298393:GSM9013400,5,0,training_all_mean_TPM,proteostasis,0.026347780558522306,0.09817695545770516,0.5105621522878013,0.8461765854918984
expression,YA,GSE298393:GSM9013400,5,0,training_all_mean_TPM,muscle_remodeling,0.07621940089080237,0.1695658032417845,1.476964683171679,1.4614693614647372
expression,YA,GSE298393:GSM9013400,5,0,training_all_mean_TPM,outside_six_programs,4.903994005077815,10.935229963602186,95.02863926157684,94.24956711105048
expression,YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,mitochondrial_expression,0.22789672212001166,0.004943630177052101,1.4672212299036398,0.24254731818298336
expression,YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,dna_repair,0.12732637902567512,0.009083646303367757,0.8197395938623889,0.4456672468000837
expression,YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,oxidative_stress,0.04286333966278154,0.0011484589785649322,0.27595834355478605,0.05634637610780912
expression,YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,inflammatory_signaling,0.23387151195024466,0.020681979392114806,1.505687507090873,1.0147115493304237
expression,YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,proteostasis,0.07921694844956462,0.006678800109096077,0.5100064075172469,0.3276792553498481
expression,YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,muscle_remodeling,0.2960987441581032,0.013561362174249941,1.9063124714351778,0.6653556007366791
expression,YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,outside_six_programs,14.525266197652304,1.9821147957933625,93.51507444663588,97.24769265349217
expression,YA,GSE298393:GSM9013410,9,1,training_all_mean_TPM,mitochondrial_expression,0.1066624274245445,0.018864073830151845,1.1867674798956651,0.49571175109388604
expression,YA,GSE298393:GSM9013410,9,1,training_all_mean_TPM,dna_repair,0.06943261348819191,0.021410465566336866,0.7725341502305788,0.5626260516781897
expression,YA,GSE298393:GSM9013410,9,1,training_all_mean_TPM,oxidative_stress,0.023383617009881955,0.006764576607431547,0.2601751797679146,0.17776012465127417
expression,YA,GSE298393:GSM9013410,9,1,training_all_mean_TPM,inflammatory_signaling,0.14386650882354424,0.038054060419404255,1.600714499383466,0.9999878656424649
expression,YA,GSE298393:GSM9013410,9,1,training_all_mean_TPM,proteostasis,0.04140921724346813,0.013833619831359258,0.46073498962179327,0.36352104918129485
expression,YA,GSE298393:GSM9013410,9,1,training_all_mean_TPM,muscle_remodeling,0.17979115193236547,0.036377067917305037,2.000425992904157,0.955919712746552
expression,YA,GSE298393:GSM9013410,9,1,training_all_mean_TPM,outside_six_programs,8.423097724569246,3.670148354486241,93.7186477081964,96.44447344500635
expression,YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,mitochondrial_expression,0.184697087869584,0.012919095738953824,1.2867517691590282,0.6386055596640691
expression,YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,dna_repair,0.10196123370960768,0.02109961970570101,0.7103457849542019,1.042978140507948
expression,YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,oxidative_stress,0.03752921469429625,0.004843408544417397,0.2614593654943449,0.23941517941253962
expression,YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,inflammatory_signaling,0.23923402758382095,0.01996435532990306,1.666700930628023,0.9868607344044277
expression,YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,proteostasis,0.06911872916011311,0.010696054809556377,0.48153789566839034,0.5287181243853403
expression,YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,muscle_remodeling,0.2925867780042064,0.0194021909588292,2.0384000558541153,0.959072311741814
expression,YA,GSE298393:GSM9013411,10,1,training_ground_mean_TPM,outside_six_programs,13.428619494277049,1.934091758788815,93.5548041982419,95.60434994988385
expression,YA,GSE298393:GSM9013411,10,1,training_all_mean_TPM,mitochondrial_expression,0.07521203108690755,0.03858877730484424,0.9180677224397222,0.9245404340421979
expression,YA,GSE298393:GSM9013411,10,1,training_all_mean_TPM,dna_repair,0.054003006236394244,0.04336197703293987,0.6591819981972922,1.038900526706488
expression,YA,GSE298393:GSM9013411,10,1,training_all_mean_TPM,oxidative_stress,0.02272613383834718,0.015136167970234527,0.277404155044333,0.3626442785265318
expression,YA,GSE298393:GSM9013411,10,1,training_all_mean_TPM,inflammatory_signaling,0.14905789127549862,0.03716530317557058,1.8194594239429596,0.890435715488151
expression,YA,GSE298393:GSM9013411,10,1,training_all_mean_TPM,proteostasis,0.03516709667341349,0.021706973251216406,0.42926345534362736,0.5200728261712154
expression,YA,GSE298393:GSM9013411,10,1,training_all_mean_TPM,muscle_remodeling,0.1790337821699368,0.044972493093352425,2.1853569736283176,1.0774865437176784
expression,YA,GSE298393:GSM9013411,10,1,training_all_mean_TPM,outside_six_programs,7.677227398070359,3.972901694358062,93.71126627140376,95.18591967534776
expression,YA,GSE298393:GSM9013412,11,1,training_ground_mean_TPM,mitochondrial_expression,0.1972603106532107,0.013634788183732842,1.2864249832846173,0.5500886587013271
expression,YA,GSE298393:GSM9013412,11,1,training_ground_mean_TPM,dna_repair,0.10689363337793557,0.016495932042970285,0.697102423067712,0.6655200659715335
expression,YA,GSE298393:GSM9013412,11,1,training_ground_mean_TPM,oxidative_stress,0.040839480428510794,0.009370297118271509,0.26633298788604715,0.3780399155428406
expression,YA,GSE298393:GSM9013412,11,1,training_ground_mean_TPM,inflammatory_signaling,0.24937466533571445,0.0312848038503789,1.626286598778009,1.2621696469271855
expression,YA,GSE298393:GSM9013412,11,1,training_ground_mean_TPM,proteostasis,0.08013350319570968,0.013854762728694191,0.522587337349916,0.5589634208725935
expression,YA,GSE298393:GSM9013412,11,1,training_ground_mean_TPM,muscle_remodeling,0.29225130819910106,0.030827612126831917,1.9059048574950466,1.2437244772196459
expression,YA,GSE298393:GSM9013412,11,1,training_ground_mean_TPM,outside_six_programs,14.367239614218505,2.363184648005646,93.69536081213865,95.34149381476485
expression,YA,GSE298393:GSM9013412,11,1,training_all_mean_TPM,mitochondrial_expression,0.08707011977149637,0.03859933565058542,0.943211349245125,0.8233579596888119
expression,YA,GSE298393:GSM9013412,11,1,training_all_mean_TPM,dna_repair,0.06286113287352418,0.0426840163390112,0.6809607487426895,0.9104878105247688
expression,YA,GSE298393:GSM9013412,11,1,training_all_mean_TPM,oxidative_stress,0.02230782854405546,0.015934485515582367,0.24165577255419748,0.33989666562050896
expression,YA,GSE298393:GSM9013412,11,1,training_all_mean_TPM,inflammatory_signaling,0.165683829766203,0.054971052434857275,1.7948162817738387,1.1725811548786158
