training_pool,id,sample_index,label,reference,program,kind,replicate,n_genes,renormalized,expression_logit_change,bridge_logit_change,perturbed_logit,original_logit,reference_logit
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,matched_random,11,173,True,0.013452684735142384,0.2795630665227691,-8.280719315343049,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,matched_random,12,173,False,-0.06903860565060427,0.20463436314707906,-8.205790611967359,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,matched_random,12,173,True,-0.07727211594083627,0.1792741487577132,-8.180430397577993,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,matched_random,13,173,False,-0.019363559453637436,0.06076939589115682,-8.061925644711437,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,matched_random,13,173,True,0.014784511621975582,0.16624627171245265,-8.167402520532733,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,matched_random,14,173,False,-0.0881192155356132,-0.28957876755680445,-7.711577481263475,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,matched_random,14,173,True,-0.10911167333930649,-0.3546131823175074,-7.6465430665027725,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,matched_random,15,173,False,0.007351562804856826,0.011566194394845297,-8.012722443215125,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,matched_random,15,173,True,0.05606381807905336,0.16236448810309412,-8.163520736923374,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,matched_random,16,173,False,-0.01958453862511078,0.02473105161266176,-8.025887300432942,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,matched_random,16,173,True,0.030470474416958382,0.17891429613268883,-8.180070544952969,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,matched_random,17,173,False,-0.034554028844631546,0.07886722882244612,-8.080023477642726,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,matched_random,17,173,True,-0.2642891472326312,-0.6304469166934723,-7.370709332126808,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,matched_random,18,173,False,-0.04042424160474667,-0.21436493075566432,-7.7867913180646156,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,matched_random,18,173,True,-0.16650461415380846,-0.6027578655787238,-7.398398383241556,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,matched_random,19,173,False,-0.0032851262871176345,-1.202771846653377,-6.798384402166903,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,mitochondrial_expression,matched_random,19,173,True,0.05037673518030772,-1.0385998084777839,-6.962556440342496,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,program,-1,136,False,-0.041895554558124104,-0.35654673272074433,-7.6446095160995355,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,program,-1,136,True,-0.02832748339835689,-0.31480133082163775,-7.686354917998642,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,0,136,False,-0.031641495439330924,-0.13556929777428195,-7.865586951045998,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,0,136,True,0.025547742049191413,0.040140283102346075,-8.041296531922626,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,1,136,False,0.02313348844847951,-0.7459489133173065,-7.255207335502973,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,1,136,True,0.04624419196128571,-0.6753177547650466,-7.325838494055233,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,2,136,False,-0.006399064278426181,-0.5594571690055545,-7.441699079814725,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,2,136,True,-0.15216704058865105,-1.0075718509456237,-6.993584397874656,-8.00115624882028,-5.8252854711124655
YA,GSE298393:GSM9013398,3,0,training_ground_mean_TPM,dna_repair,matched_random,3,136,False,0.014651081607240712,-0.46983154791951165,-7.531324700900768,-8.00115624882028,-5.8252854711124655
