model,context,calibration,auroc,balanced_accuracy,n,TP,TN,FP,FN,mean_positive_logit,mean_negative_logit
original__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,4,1.0,1.0,5,4,1,0,0,4.834423043620153,-6.517648261832448
original__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,5,1.0,1.0,5,4,1,0,0,5.265697554111365,-5.2238247303588246
original__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,0,1.0,0.5,6,0,2,0,4,-2.9852661466434434,-8.609242255362751
original__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,1,1.0,0.5,6,0,2,0,4,-2.617858634000373,-7.874427230076613
original__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,2,1.0,0.75,6,2,2,0,2,-1.5543300446357515,-5.747370051347371
original__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,3,1.0,0.5,6,0,2,0,4,-2.5629354422247093,-7.764580846525286
original__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,4,1.0,0.75,6,2,2,0,2,-1.499406852860084,-5.637523667796042
original__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,5,1.0,0.75,6,2,2,0,2,-1.131999340217018,-4.902708642509908
original__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,0,0.125,0.5,6,0,2,0,4,-9.9321357698429,-7.559980054493086
original__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,1,0.125,0.5,6,0,2,0,4,-9.553506053068642,-6.802720620944568
original__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,2,0.25,0.5,6,0,2,0,4,-11.030148638010374,-9.756005790828041
original__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,3,0.0,0.5,6,0,2,0,4,-8.030118296118678,-3.755945107044626
original__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,4,0.125,0.5,6,0,2,0,4,-9.506760881060416,-6.709230276928101
original__bridge__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,5,0.125,0.5,6,0,2,0,4,-9.12813116428616,-5.951970843379582
original__bridge__ir_control__absolute,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,0,0.7500000000000001,0.625,7,1,3,0,3,-6.793315360708321,-13.563402227393667
original__bridge__ir_control__absolute,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,0,1.0,0.8333333333333333,7,4,2,1,0,15.827608590125251,-4.628405229519196
original__bridge__ir_control__absolute,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,0,1.0,0.5,8,0,4,0,4,-8.765675283633747,-14.425938263216278
original__bridge__ir_control__absolute,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,0,0.75,0.5,8,0,4,0,4,-10.714015508590755,-12.337241967559166
original__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,3,0.25,0.375,5,3,0,1,1,6.03957740765224,10.23155821523403
original__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,4,1.0,0.625,5,1,1,0,3,-3.175708516049807,-17.414299555872084
original__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,5,1.0,0.625,5,1,1,0,3,-2.2610898615486055,-14.670443592368493
original__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,3,1.0,1.0,5,4,1,0,0,16.437848902839697,-8.228007863223235
original__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,4,1.0,1.0,5,4,1,0,0,13.819155243637539,-16.08408884082972
original__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,5,1.0,0.5,5,4,0,1,0,20.00015544759624,2.458911771046382
original__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,0,1.0,0.625,6,1,2,0,3,-1.3326066574755324,-7.820282356531502
original__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,1,1.0,0.625,6,1,2,0,3,-0.6478687895624553,-6.450806620705341
original__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,2,1.0,0.625,6,1,2,0,3,-2.005164508059042,-9.165398057698507
original__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,3,1.0,0.625,6,1,2,0,3,-0.12416142802938071,-5.403391897639196
original__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,4,1.0,0.625,6,1,2,0,3,-1.4814571465259694,-8.117983334632369
original__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,5,1.0,0.625,6,1,2,0,3,-0.7967192786128856,-6.748507598806205
original__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,0,0.5,0.5,6,0,2,0,4,-7.031978541863957,-9.801683570447096
original__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,1,0.375,0.5,6,0,2,0,4,-4.18148961339179,-4.100705713502755
original__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,2,0.875,0.5,6,0,2,0,4,-8.368529599220057,-12.474785685159262
original__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,3,0.25,0.5,6,0,2,0,4,-3.1781388917296267,-2.0940042701784263
original__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,4,0.75,0.5,6,0,2,0,4,-7.365178877557885,-10.46808424183494
original__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,5,0.625,0.5,6,0,2,0,4,-4.514689949085717,-4.767106384890614
original__expression__hard_negative__absolute,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,0,0.6666666666666667,0.5,7,4,0,3,0,94.33530489775535,91.327435151041
original__expression__hard_negative__absolute,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,0,1.0,0.5,7,4,0,3,0,134.41729594062107,106.4586246385208
original__expression__hard_negative__absolute,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,0,0.8125,0.5,8,4,0,4,0,94.97588327462284,88.67324960745938
original__expression__hard_negative__absolute,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,0,0.8125,0.5,8,4,0,4,0,103.39785966892458,97.33529414863514
original__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,3,0.25,0.25,5,2,0,1,2,-0.7573306616128223,7.073073359592281
original__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,4,1.0,0.5,5,0,1,0,4,-9.41578040646451,-18.90227587496279
original__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,5,0.75,0.625,5,1,1,0,3,-7.691788716339409,-13.730300804587484
original__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,3,1.0,1.0,5,4,1,0,0,14.110471687749293,-7.63824510462706
original__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,4,1.0,1.0,5,4,1,0,0,11.090994842156633,-16.69667564140506
original__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_7d,5,1.0,1.0,5,4,1,0,0,16.248359197983024,-1.2245825739258505
original__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,0,0.875,0.625,6,1,2,0,3,-3.9705396979042695,-9.834064664987874
original__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,1,0.75,0.625,6,1,2,0,3,-3.063946311802008,-8.020877892783354
original__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,2,0.875,0.625,6,1,2,0,3,-4.149329544214598,-10.191644357608538
original__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,3,0.75,0.625,6,1,2,0,3,-2.4775196265920574,-6.848024522363453
original__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,4,0.875,0.625,6,1,2,0,3,-3.5629028590046508,-9.018790987188638
original__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_6h,5,0.75,0.625,6,1,2,0,3,-2.656309472902387,-7.205604214984104
original__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,0,0.75,0.5,6,0,2,0,4,-7.831230479935368,-13.214016927674095
original__expression__hard_negative__matched_control,GSE242706|NCBI_gene_counts|Lung epithelium|Lung epithelium_7d,1,0.75,0.5,6,0,2,0,4,-4.119261298460011,-5.7900785647233945
