model,context,calibration,evaluation,auroc,balanced_accuracy,n,TP,TN,FP,FN,mean_positive_logit,mean_negative_logit
ncbi__bridge__ir_control__matched_control,GSE230181|BFX17_expr.txt|ADSC|ADSC,1,other_cell_held_file,1.0,1.0,3,2,1,0,0,1.297882782531084,-8.640914822722387
ncbi__bridge__ir_control__matched_control,GSE230181|BFX17_expr.txt|ADSC|ADSC,2,other_cell_held_file,1.0,1.0,3,2,1,0,0,1.7912498616656385,-7.160813585318725
ncbi__bridge__ir_control__matched_control,GSE230181|BFX17_expr.txt|HMVEC|HMVEC,0,other_cell_held_file,1.0,0.5,4,0,1,0,3,-4.0064395178062835,-6.412706508216134
ncbi__bridge__ir_control__matched_control,GSE230181|BFX17_expr.txt|HMVEC|HMVEC,1,other_cell_held_file,1.0,0.5,4,0,1,0,3,-4.241728089617602,-7.118572223650081
ncbi__bridge__ir_control__matched_control,GSE230181|BFX17_expr.txt|HMVEC|HMVEC,2,other_cell_held_file,1.0,0.5,4,0,1,0,3,-4.453192622445775,-7.752965822134612
ncbi__bridge__ir_control__matched_control,GSE230181|BFX17_expr.txt|HUVEC|HUVEC,0,other_cell_held_file,1.0,0.6666666666666666,4,1,1,0,2,-0.8906873920844519,-7.378940280664258
ncbi__bridge__ir_control__matched_control,GSE230181|BFX17_expr.txt|HUVEC|HUVEC,1,other_cell_held_file,1.0,0.6666666666666666,4,1,1,0,2,-0.6064952960871342,-6.81055608866962
ncbi__bridge__ir_control__matched_control,GSE230181|BFX17_expr.txt|IMR90|B,0,held_file,1.0,1.0,4,3,1,0,0,3.9110095325782885,-5.339335845579273
ncbi__bridge__ir_control__matched_control,GSE230181|BFX17_expr.txt|IMR90|B,1,held_file,1.0,1.0,4,3,1,0,0,2.155597193490618,-8.850160523754614
ncbi__bridge__ir_control__matched_control,GSE230181|BFX17_expr.txt|IMR90|C,0,held_file,1.0,1.0,4,3,1,0,0,7.819947322845827,-7.971080893276339
ncbi__bridge__ir_control__matched_control,GSE230181|BFX17_expr.txt|IMR90|C,1,held_file,1.0,1.0,4,3,1,0,0,8.740132241929187,-5.2105261360262745
ncbi__bridge__ir_control__matched_control,GSE230181|BFX17_expr.txt|IMR90|C,2,held_file,1.0,1.0,4,3,1,0,0,7.7760951123718725,-8.102637524698212
ncbi__bridge__ir_control__matched_control,GSE230181|BFX17_expr.txt|RPTEC|RPTEC,0,other_cell_held_file,1.0,1.0,4,3,1,0,0,5.655899450472531,-6.379372448753851
ncbi__bridge__ir_control__matched_control,GSE230181|BFX17_expr.txt|RPTEC|RPTEC,1,other_cell_held_file,1.0,1.0,4,3,1,0,0,5.176541544018277,-7.8174461681165965
ncbi__bridge__ir_control__matched_control,GSE230181|BFX17_expr.txt|RPTEC|RPTEC,2,other_cell_held_file,1.0,1.0,4,3,1,0,0,5.41988162101369,-7.087425937130367
ncbi__bridge__ir_control__matched_control,GSE230181|BFX36_expr.txt|IMR90|D,0,held_file,1.0,1.0,7,4,3,0,0,11.144994596271932,-6.828985683732719
ncbi__bridge__ir_control__matched_control,GSE230181|BFX36_expr.txt|IMR90|D,1,held_file,1.0,1.0,7,4,3,0,0,10.825419882836062,-7.361610206125856
ncbi__bridge__ir_control__matched_control,GSE230181|BFX36_expr.txt|IMR90|D,2,held_file,1.0,1.0,7,4,3,0,0,11.185079103330434,-6.762178171968557
ncbi__bridge__ir_control__matched_control,GSE230181|BFX36_expr.txt|IMR90|D,3,held_file,1.0,1.0,7,4,3,0,0,10.894200541409736,-7.246975775169713
ncbi__bridge__ir_control__matched_control,GSE230181|BFX36_expr.txt|IMR90|D,4,held_file,1.0,1.0,7,4,3,0,0,10.901362596540205,-7.235039016618927
ncbi__bridge__ir_control__matched_control,GSE230181|BFX36_expr.txt|IMR90|D,5,held_file,1.0,1.0,7,4,3,0,0,11.261021817034576,-6.6356069824616375
ncbi__bridge__ir_control__matched_control,GSE230181|BFX36_expr.txt|IMR90|D,6,held_file,1.0,1.0,7,4,3,0,0,10.9701432551139,-7.120404585662797
ncbi__bridge__ir_control__matched_control,GSE230181|BFX36_expr.txt|IMR90|D,7,held_file,1.0,1.0,7,4,3,0,0,10.941447103598701,-7.1682315048547585
ncbi__bridge__ir_control__matched_control,GSE230181|BFX36_expr.txt|IMR90|D,8,held_file,1.0,1.0,7,4,3,0,0,10.650568541678002,-7.6530291080559225
ncbi__bridge__ir_control__matched_control,GSE230181|BFX36_expr.txt|IMR90|D,9,held_file,1.0,1.0,7,4,3,0,0,11.010227762172377,-7.053597073898627
ncbi__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,0,lung_development,0.625,0.5,6,2,1,1,2,2.6027500143303395,-1.8493371253200834
ncbi__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,1,lung_development,0.625,0.625,6,3,1,1,1,3.122745932793908,-0.8093452883929473
ncbi__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,2,lung_development,1.0,0.625,6,1,2,0,3,-3.5658251492744055,-14.186487452529565
ncbi__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,3,lung_development,0.625,0.625,6,3,1,1,1,3.358246515369943,-0.3383441232408728
ncbi__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,4,lung_development,1.0,0.625,6,1,2,0,3,-3.3303245666983643,-13.715486287377498
ncbi__bridge__ir_control__matched_control,GSE242706|NCBI_gene_counts|Lung endothelium|Lung endothelium_6h,5,lung_development,1.0,0.625,6,1,2,0,3,-2.810328648234799,-12.675494450450358
