gene,source_row,method
AHSA1,1842,exact_symbol
AHSG,1844,exact_symbol
AICDA,1846,exact_symbol
AIDA,1847,exact_symbol
AIF1,1848,exact_symbol
AIF1L,1849,exact_symbol
AIFM1,1850,exact_symbol
AIFM2,1852,exact_symbol
AIFM3,1853,exact_symbol
AIG1,1854,exact_symbol
AIM2,1858,exact_symbol
AIMP1,1859,exact_symbol
AIMP2,1862,exact_symbol
AIP,1863,exact_symbol
AIPL1,1864,exact_symbol
AIRE,1865,exact_symbol
AJAP1,1868,exact_symbol
AJM1,4220,hgnc_previous_symbol
AJUBA,1869,exact_symbol
AK1,1870,exact_symbol
AK2,1871,exact_symbol
AK3,1873,exact_symbol
AK5,1885,exact_symbol
AK7,1889,exact_symbol
AK8,1890,exact_symbol
AK9,1891,exact_symbol
AKAIN1,1892,exact_symbol
AKAP1,1893,exact_symbol
AKAP10,1894,exact_symbol
AKAP11,1895,exact_symbol
AKAP12,1896,exact_symbol
AKAP13,1897,exact_symbol
AKAP3,1902,exact_symbol
AKAP4,1903,exact_symbol
AKAP6,1905,exact_symbol
AKAP7,1906,exact_symbol
AKAP8,1907,exact_symbol
AKAP8L,1908,exact_symbol
AKAP9,1910,exact_symbol
AKIP1,1911,exact_symbol
AKIRIN1,1912,exact_symbol
AKIRIN2,1915,exact_symbol
AKNA,1917,exact_symbol
AKR1A1,1919,exact_symbol
AKR1D1,1939,exact_symbol
AKR1E2,1941,exact_symbol
AKR7L,1945,exact_symbol
AKT1,1946,exact_symbol
AKT1S1,1947,exact_symbol
AKT2,1948,exact_symbol
AKT3,1949,exact_symbol
AKTIP,1950,exact_symbol
ALAD,2050,exact_symbol
ALAS1,2051,exact_symbol
ALAS2,2052,exact_symbol
ALB,2053,exact_symbol
ALCAM,2054,exact_symbol
ALDH16A1,2055,exact_symbol
ALDH18A1,2056,exact_symbol
ALDH1A2,2058,exact_symbol
ALDH1A3,2059,exact_symbol
ALDH1B1,2060,exact_symbol
ALDH1L1,2061,exact_symbol
ALDH1L2,2062,exact_symbol
ALDH2,2063,exact_symbol
ALDH3A1,2064,exact_symbol
ALDH3A2,2065,exact_symbol
ALDH3B1,2066,exact_symbol
ALDH4A1,2068,exact_symbol
ALDH5A1,2069,exact_symbol
ALDH6A1,2070,exact_symbol
ALDH7A1,2071,exact_symbol
ALDH8A1,2076,exact_symbol
ALDOB,2081,exact_symbol
ALDOC,2082,exact_symbol
ALG11,2086,exact_symbol
ALG12,2087,exact_symbol
ALG13,2088,exact_symbol
ALG14,2089,exact_symbol
ALG2,2104,exact_symbol
ALG3,2105,exact_symbol
ALG5,2107,exact_symbol
ALG6,2108,exact_symbol
ALG8,2109,exact_symbol
ALG9,2110,exact_symbol
ALK,2111,exact_symbol
ALKAL1,9182,hgnc_previous_symbol
ALKAL2,9183,hgnc_previous_symbol
ALKBH1,2112,exact_symbol
ALKBH2,2113,exact_symbol
ALKBH3,2114,exact_symbol
ALKBH4,2115,exact_symbol
ALKBH5,2116,exact_symbol
ALKBH6,2117,exact_symbol
ALKBH7,2118,exact_symbol
ALKBH8,2119,exact_symbol
ALLC,2120,exact_symbol
ALOX12,2123,exact_symbol
ALOX12B,2124,exact_symbol
ALOX15,2127,exact_symbol
ALOX15B,2128,exact_symbol
ALOX5,2130,exact_symbol
ALOX5AP,2131,exact_symbol
ALOXE3,2132,exact_symbol
ALPK1,2134,exact_symbol
ALPK2,2135,exact_symbol
ALPK3,2136,exact_symbol
ALPL,2137,exact_symbol
ALS2,2140,exact_symbol
ALS2CL,2141,exact_symbol
ALX1,2144,exact_symbol
ALX3,2145,exact_symbol
ALX4,2146,exact_symbol
AMACR,2148,exact_symbol
AMBN,2149,exact_symbol
AMBP,2150,exact_symbol
AMBRA1,2151,exact_symbol
AMDHD1,2157,exact_symbol
AMDHD2,2158,exact_symbol
AMELX,2159,exact_symbol
AMER1,2161,exact_symbol
AMER2,2162,exact_symbol
AMER3,2163,exact_symbol
AMFR,2164,exact_symbol
AMH,2165,exact_symbol
AMHR2,2166,exact_symbol
AMIGO1,2167,exact_symbol
AMIGO2,2168,exact_symbol
AMIGO3,2169,exact_symbol
AMMECR1,2170,exact_symbol
AMMECR1L,2171,exact_symbol
AMN,2173,exact_symbol
AMN1,2174,exact_symbol
AMOT,2175,exact_symbol
AMOTL1,2176,exact_symbol
AMOTL2,2177,exact_symbol
AMPD1,2178,exact_symbol
AMPD2,2179,exact_symbol
AMPD3,2180,exact_symbol
AMPH,2181,exact_symbol
AMT,2182,exact_symbol
AMTN,2183,exact_symbol
AMZ1,2190,exact_symbol
AMZ2,2191,exact_symbol
ANAPC1,2194,exact_symbol
ANAPC10,2195,exact_symbol
ANAPC11,2197,exact_symbol
ANAPC13,2198,exact_symbol
ANAPC15,2199,exact_symbol
ANAPC16,2200,exact_symbol
ANAPC2,2202,exact_symbol
ANAPC4,2203,exact_symbol
ANAPC5,2204,exact_symbol
ANAPC7,2205,exact_symbol
ANGEL1,2207,exact_symbol
ANGEL2,2208,exact_symbol
ANGPT1,2209,exact_symbol
ANGPT2,2210,exact_symbol
ANGPT4,2211,exact_symbol
ANGPTL1,2212,exact_symbol
ANGPTL2,2213,exact_symbol
ANGPTL3,2214,exact_symbol
ANGPTL4,2215,exact_symbol
ANGPTL6,2217,exact_symbol
ANGPTL7,2218,exact_symbol
ANGPTL8,2219,exact_symbol
ANK1,2221,exact_symbol
ANK2,2222,exact_symbol
ANKAR,2224,exact_symbol
ANKDD1A,2225,exact_symbol
ANKDD1B,2226,exact_symbol
ANKEF1,2227,exact_symbol
ANKFN1,2228,exact_symbol
ANKFY1,2229,exact_symbol
ANKH,2230,exact_symbol
ANKHD1,2231,exact_symbol
ANKIB1,2233,exact_symbol
ANKK1,2234,exact_symbol
ANKLE1,2235,exact_symbol
ANKLE2,2236,exact_symbol
ANKMY1,2237,exact_symbol
ANKMY2,2238,exact_symbol
ANKRA2,2239,exact_symbol
ANKRD1,2240,exact_symbol
ANKRD10,2241,exact_symbol
ANKRD11,2242,exact_symbol
ANKRD12,2243,exact_symbol
ANKRD13A,2244,exact_symbol
ANKRD13B,2245,exact_symbol
ANKRD13C,2246,exact_symbol
ANKRD13D,2247,exact_symbol
ANKRD16,2248,exact_symbol
ANKRD17,2249,exact_symbol
ANKRD2,2256,exact_symbol
ANKRD22,2270,exact_symbol
ANKRD23,2271,exact_symbol
ANKRD24,2272,exact_symbol
ANKRD27,2278,exact_symbol
ANKRD28,2279,exact_symbol
ANKRD29,2280,exact_symbol
ANKRD31,2287,exact_symbol
ANKRD33,2288,exact_symbol
ANKRD33B,2289,exact_symbol
ANKRD34A,2290,exact_symbol
ANKRD34B,2291,exact_symbol
ANKRD34C,2292,exact_symbol
ANKRD35,2293,exact_symbol
ANKRD37,2300,exact_symbol
ANKRD39,2301,exact_symbol
ANKRD40,2302,exact_symbol
ANKRD40CL,-1,missing
ANKRD42,2303,exact_symbol
ANKRD44,2304,exact_symbol
ANKRD45,2305,exact_symbol
ANKRD46,2306,exact_symbol
ANKRD49,2307,exact_symbol
ANKRD52,2309,exact_symbol
ANKRD54,2311,exact_symbol
ANKRD55,2313,exact_symbol
ANKRD6,2314,exact_symbol
ANKRD60,2315,exact_symbol
ANKRD61,2316,exact_symbol
ANKRD63,2319,exact_symbol
ANKRD65,2320,exact_symbol
ANKRD66,2321,exact_symbol
ANKRD9,2323,exact_symbol
ANKS1A,2324,exact_symbol
ANKS1B,2325,exact_symbol
ANKS3,2326,exact_symbol
ANKS4B,2327,exact_symbol
ANKS6,2328,exact_symbol
ANKUB1,2329,exact_symbol
ANKZF1,2330,exact_symbol
ANLN,2331,exact_symbol
ANO1,2332,exact_symbol
ANO10,2333,exact_symbol
ANO2,2334,exact_symbol
ANO3,2335,exact_symbol
ANO4,2336,exact_symbol
ANO5,2337,exact_symbol
ANO6,2338,exact_symbol
ANO7,2339,exact_symbol
ANO8,2341,exact_symbol
ANO9,2342,exact_symbol
ANP32B,2347,exact_symbol
ANP32E,2353,exact_symbol
ANPEP,2354,exact_symbol
ANTKMT,9230,hgnc_previous_symbol
ANTXR1,2355,exact_symbol
ANTXR2,2356,exact_symbol
ANXA1,2359,exact_symbol
ANXA10,2360,exact_symbol
ANXA11,2361,exact_symbol
ANXA13,2362,exact_symbol
ANXA2,2363,exact_symbol
ANXA3,2368,exact_symbol
ANXA4,2369,exact_symbol
ANXA5,2370,exact_symbol
ANXA6,2371,exact_symbol
ANXA7,2372,exact_symbol
ANXA9,2375,exact_symbol
AOAH,2376,exact_symbol
AOC2,2378,exact_symbol
AOC3,2379,exact_symbol
AOPEP,4222,hgnc_previous_symbol
AOX1,2381,exact_symbol
AP1AR,2475,exact_symbol
AP1B1,2476,exact_symbol
AP1G1,2479,exact_symbol
AP1G2,2480,exact_symbol
AP1M1,2481,exact_symbol
AP1M2,2482,exact_symbol
AP1S1,2483,exact_symbol
AP1S2,2484,exact_symbol
AP1S3,2486,exact_symbol
AP2A1,2487,exact_symbol
AP2A2,2488,exact_symbol
AP2B1,2489,exact_symbol
AP2M1,2490,exact_symbol
AP2S1,2491,exact_symbol
AP3B1,2492,exact_symbol
AP3B2,2493,exact_symbol
AP3D1,2494,exact_symbol
AP3M1,2495,exact_symbol
AP3M2,2496,exact_symbol
AP3S1,2497,exact_symbol
AP3S2,2498,exact_symbol
AP4B1,2499,exact_symbol
AP4E1,2500,exact_symbol
AP4M1,2501,exact_symbol
AP4S1,2502,exact_symbol
AP5B1,2503,exact_symbol
AP5M1,2504,exact_symbol
AP5S1,2505,exact_symbol
AP5Z1,2506,exact_symbol
APAF1,2507,exact_symbol
APBA1,2508,exact_symbol
APBA2,2509,exact_symbol
APBA3,2510,exact_symbol
APBB1,2511,exact_symbol
APBB1IP,2512,exact_symbol
APBB2,2513,exact_symbol
APBB3,2514,exact_symbol
APC,2515,exact_symbol
APC2,2516,exact_symbol
APCDD1,2517,exact_symbol
APCS,2519,exact_symbol
APEH,2520,exact_symbol
APEX1,2522,exact_symbol
APEX2,2523,exact_symbol
APH1A,2524,exact_symbol
API5,2526,exact_symbol
APIP,2529,exact_symbol
APLF,2532,exact_symbol
APLN,2533,exact_symbol
APLNR,2534,exact_symbol
APLP1,2535,exact_symbol
APLP2,2536,exact_symbol
APMAP,2537,exact_symbol
APOA1,2538,exact_symbol
APOA2,2539,exact_symbol
APOA4,2540,exact_symbol
APOA5,2541,exact_symbol
APOB,2542,exact_symbol
APOBEC1,2543,exact_symbol
APOBEC2,2544,exact_symbol
APOBEC4,2553,exact_symbol
APOC1,2555,exact_symbol
APOC2,2557,exact_symbol
APOC4,2559,exact_symbol
APOD,2561,exact_symbol
APOE,2562,exact_symbol
APOF,2563,exact_symbol
APOH,2564,exact_symbol
APOLD1,2571,exact_symbol
APOM,2572,exact_symbol
APOO,2573,exact_symbol
APOOL,2574,exact_symbol
APP,2581,exact_symbol
APPBP2,2582,exact_symbol
APPL1,2583,exact_symbol
APPL2,2584,exact_symbol
APRT,2585,exact_symbol
APTX,2586,exact_symbol
AQP1,2587,exact_symbol
AQP11,2589,exact_symbol
AQP2,2592,exact_symbol
AQP3,2593,exact_symbol
AQP4,2594,exact_symbol
AQP5,2595,exact_symbol
AQP6,2596,exact_symbol
AQP8,2603,exact_symbol
AQP9,2604,exact_symbol
AQR,2605,exact_symbol
AR,2606,exact_symbol
ARAF,2607,exact_symbol
ARAP1,2611,exact_symbol
ARAP2,2612,exact_symbol
ARAP3,2613,exact_symbol
ARC,2614,exact_symbol
ARCN1,2615,exact_symbol
AREG,2616,exact_symbol
AREL1,2617,exact_symbol
ARF1,2618,exact_symbol
ARF3,2622,exact_symbol
ARF4,2623,exact_symbol
ARF5,2628,exact_symbol
ARF6,2629,exact_symbol
ARFGAP1,2630,exact_symbol
ARFGAP2,2631,exact_symbol
ARFGAP3,2632,exact_symbol
ARFGEF1,2633,exact_symbol
ARFGEF2,2634,exact_symbol
ARFGEF3,2635,exact_symbol
ARFIP1,2636,exact_symbol
ARFIP2,2637,exact_symbol
ARFRP1,2638,exact_symbol
ARG1,2639,exact_symbol
ARG2,2640,exact_symbol
ARGLU1,2644,exact_symbol
ARHGAP1,2645,exact_symbol
ARHGAP10,2646,exact_symbol
ARHGAP11A,2647,exact_symbol
ARHGAP12,2649,exact_symbol
ARHGAP15,2650,exact_symbol
ARHGAP17,2651,exact_symbol
ARHGAP18,2652,exact_symbol
ARHGAP19,2653,exact_symbol
ARHGAP20,2655,exact_symbol
ARHGAP21,2656,exact_symbol
ARHGAP22,2657,exact_symbol
ARHGAP23,2658,exact_symbol
ARHGAP24,2660,exact_symbol
ARHGAP25,2661,exact_symbol
ARHGAP26,2662,exact_symbol
ARHGAP27,2663,exact_symbol
ARHGAP28,2664,exact_symbol
ARHGAP29,2665,exact_symbol
ARHGAP30,2666,exact_symbol
ARHGAP31,2667,exact_symbol
ARHGAP32,2668,exact_symbol
ARHGAP33,2669,exact_symbol
ARHGAP35,2670,exact_symbol
ARHGAP36,2671,exact_symbol
ARHGAP39,2672,exact_symbol
ARHGAP4,2673,exact_symbol
ARHGAP40,2674,exact_symbol
ARHGAP42,2675,exact_symbol
ARHGAP44,2681,exact_symbol
ARHGAP45,2682,exact_symbol
ARHGAP5,2683,exact_symbol
ARHGAP6,2684,exact_symbol
ARHGAP8,2685,exact_symbol
ARHGAP9,2686,exact_symbol
ARHGDIA,2687,exact_symbol
ARHGDIB,2688,exact_symbol
ARHGDIG,2689,exact_symbol
ARHGEF1,2690,exact_symbol
ARHGEF10,2691,exact_symbol
ARHGEF10L,2692,exact_symbol
ARHGEF11,2693,exact_symbol
ARHGEF12,2694,exact_symbol
ARHGEF15,2695,exact_symbol
ARHGEF16,2696,exact_symbol
ARHGEF17,2697,exact_symbol
ARHGEF18,2698,exact_symbol
ARHGEF19,2699,exact_symbol
ARHGEF2,2700,exact_symbol
ARHGEF25,2701,exact_symbol
ARHGEF26,2702,exact_symbol
ARHGEF28,2703,exact_symbol
ARHGEF3,2704,exact_symbol
ARHGEF33,2705,exact_symbol
ARHGEF37,2708,exact_symbol
ARHGEF38,2709,exact_symbol
ARHGEF39,2710,exact_symbol
ARHGEF40,2712,exact_symbol
ARHGEF5,2713,exact_symbol
ARHGEF6,2714,exact_symbol
ARHGEF7,2715,exact_symbol
ARHGEF9,2716,exact_symbol
ARID1A,2717,exact_symbol
ARID1B,2718,exact_symbol
ARID2,2719,exact_symbol
ARID3A,2720,exact_symbol
ARID3B,2721,exact_symbol
ARID3C,2722,exact_symbol
ARID4A,2723,exact_symbol
ARID4B,2724,exact_symbol
ARID5A,2725,exact_symbol
