study,species,setting,tissue,material,stratum,contrast,n_control,n_exposed,n_training_samples,n_validation_samples,representation,effect_over_within_rms,split_positive_fraction,split_median_cosine,loo_min_direction_cosine,resampling_unit,n_effective_units,n_balanced_splits,projection_log_count_spearman
OSD-379,mouse,actual_flight,liver,Left Lobe of the Liver,LAR|YNG||balb/canntac|female||||{not applicable}|liquid nitrogen,OSD-379|Left Lobe of the Liver|9abbe127,6,6,0,0,model_std,0.42734596353450105,0.285,-0.20517572812341367,0.576787563491574,within-condition sample splits,12,400,-0.37762237762237766
OSD-401,mouse,actual_flight,skeletal muscle,Gastrocnemius,|||balb/c|female|30 {week}||9 {week}||rnalater,OSD-401|Gastrocnemius|344e21b7,3,3,0,0,raw,1.0574897236267675,1.0,0.29248793600354855,0.9100348785530367,within-condition sample splits,6,9,0.028571428571428574
OSD-401,mouse,actual_flight,skeletal muscle,Gastrocnemius,|||balb/c|female|30 {week}||9 {week}||rnalater,OSD-401|Gastrocnemius|344e21b7,3,3,0,0,PCA8_descriptive,1.0574897236267697,1.0,0.29248793600354867,0.9100348785530367,within-condition sample splits,6,9,0.028571428571428574
OSD-401,mouse,actual_flight,skeletal muscle,Gastrocnemius,|||balb/c|female|30 {week}||9 {week}||rnalater,OSD-401|Gastrocnemius|344e21b7,3,3,0,0,model_mean,1.488024047865541,1.0,0.5494314041166538,0.9292170885317343,within-condition sample splits,6,9,-0.14285714285714288
OSD-401,mouse,actual_flight,skeletal muscle,Gastrocnemius,|||balb/c|female|30 {week}||9 {week}||rnalater,OSD-401|Gastrocnemius|344e21b7,3,3,0,0,model_std,1.829021858801798,1.0,0.7992428959333658,0.9652890758056886,within-condition sample splits,6,9,0.028571428571428574
OSD-401,mouse,actual_flight,skeletal muscle,Quadriceps femoris,|||balb/c|female|30 {week}||9 {week}||rnalater,OSD-401|Quadriceps femoris|344e21b7,3,3,0,0,raw,0.9695800605065642,1.0,0.15320444034539807,0.8501726402072122,within-condition sample splits,6,9,0.028571428571428574
OSD-401,mouse,actual_flight,skeletal muscle,Quadriceps femoris,|||balb/c|female|30 {week}||9 {week}||rnalater,OSD-401|Quadriceps femoris|344e21b7,3,3,0,0,PCA8_descriptive,0.9695800605065651,1.0,0.15320444034539837,0.8501726402072127,within-condition sample splits,6,9,0.028571428571428574
OSD-401,mouse,actual_flight,skeletal muscle,Quadriceps femoris,|||balb/c|female|30 {week}||9 {week}||rnalater,OSD-401|Quadriceps femoris|344e21b7,3,3,0,0,model_mean,0.7556382080604517,0.5555555555555556,0.14064894649909454,0.8236540769848069,within-condition sample splits,6,9,-0.3142857142857143
OSD-401,mouse,actual_flight,skeletal muscle,Quadriceps femoris,|||balb/c|female|30 {week}||9 {week}||rnalater,OSD-401|Quadriceps femoris|344e21b7,3,3,0,0,model_std,1.0493798860900874,0.8888888888888888,0.3076535369359004,0.8206970058146656,within-condition sample splits,6,9,0.14285714285714288
OSD-419,mouse,actual_flight,skeletal muscle,Right gastrocnemius,|||c57bl/6j|female|16 {week}||37 {day}|mini cold bag to -80c freezer|rnalater,OSD-419|Right gastrocnemius|2664dccf,6,4,0,0,raw,0.6571192068958712,0.9333333333333333,0.037012650732567175,0.9094509085998517,within-condition sample splits,10,120,0.406060606060606
