id,source_nonzero,source_total,coverage
OSD-457:GSM4614063,14411,12253714.0,1.0
OSD-457:GSM4613909,14410,12267458.0,1.0
OSD-457:GSM4614056,14491,11673705.0,1.0
OSD-457:GSM4613918,14473,11884069.0,1.0
OSD-457:GSM4613920,14492,11327408.0,1.0
OSD-457:GSM4613914,14332,12059962.0,1.0
OSD-457:GSM4614054,14530,12229238.0,1.0
OSD-457:GSM4614053,14505,11897852.0,1.0
OSD-457:GSM4613913,14526,11856170.0,1.0
OSD-457:GSM4613917,14478,12028890.0,1.0
OSD-457:GSM4613919,14461,12003706.0,1.0
OSD-457:GSM4614062,14478,11619205.0,1.0
OSD-457:GSM4614059,14449,12124003.0,1.0
OSD-457:GSM4614060,14401,12298543.0,1.0
OSD-457:GSM4614008,12304,10907537.0,1.0
OSD-457:GSM4614016,12590,10857896.0,1.0
OSD-457:GSM4614006,12387,10675588.0,1.0
OSD-457:GSM4614005,12310,10835873.0,1.0
OSD-457:GSM4614013,12273,10842488.0,1.0
OSD-457:GSM4614015,12476,10774092.0,1.0
OSD-457:GSM4614020,12484,10935071.0,1.0
OSD-457:GSM4614025,12559,11355081.0,1.0
OSD-457:GSM4614017,12514,10947983.0,1.0
OSD-457:GSM4614018,12495,11153669.0,1.0
OSD-457:GSM4614028,12524,11259035.0,1.0
OSD-457:GSM4614027,12954,11339350.0,1.0
OSD-457:GSM4614011,12358,11053071.0,1.0
OSD-457:GSM4614009,12273,10889537.0,1.0
OSD-457:GSM4614007,12503,10856330.0,1.0
OSD-457:GSM4614010,12277,11083846.0,1.0
OSD-457:GSM4614014,12456,11083065.0,1.0
OSD-457:GSM4614012,12551,11470893.0,1.0
OSD-457:GSM4614024,12794,11212589.0,1.0
OSD-457:GSM4614026,12598,11488217.0,1.0
OSD-457:GSM4614021,12581,11503216.0,1.0
OSD-457:GSM4614019,12376,11536863.0,1.0
OSD-457:GSM4614022,12680,11376068.0,1.0
OSD-457:GSM4614023,12340,11289767.0,1.0
OSD-457:GSM4614052,13661,6405703.0,1.0
OSD-457:GSM4614044,13461,5577402.0,1.0
OSD-457:GSM4614049,13443,6407157.0,1.0
OSD-457:GSM4614041,13513,6583925.0,1.0
OSD-457:GSM4614042,13599,6405510.0,1.0
