contrast_a,contrast_b,study_a,study_b,species,setting,tissue,representation,response_cosine
OSD-104|Soleus-both sides|8d0b8dc2,OSD-326|Quadriceps femoris|6a69abe9,OSD-104,OSD-326,mouse,actual_flight,skeletal muscle,model_std,-0.04632017435093891
OSD-104|Soleus-both sides|8d0b8dc2,OSD-401|Gastrocnemius|344e21b7,OSD-104,OSD-401,mouse,actual_flight,skeletal muscle,raw,0.1915732443037117
OSD-104|Soleus-both sides|8d0b8dc2,OSD-401|Gastrocnemius|344e21b7,OSD-104,OSD-401,mouse,actual_flight,skeletal muscle,model_mean,-0.060538788641212635
OSD-104|Soleus-both sides|8d0b8dc2,OSD-401|Gastrocnemius|344e21b7,OSD-104,OSD-401,mouse,actual_flight,skeletal muscle,model_std,0.32210134975954935
OSD-104|Soleus-both sides|8d0b8dc2,OSD-401|Quadriceps femoris|344e21b7,OSD-104,OSD-401,mouse,actual_flight,skeletal muscle,raw,0.14435341681172303
OSD-104|Soleus-both sides|8d0b8dc2,OSD-401|Quadriceps femoris|344e21b7,OSD-104,OSD-401,mouse,actual_flight,skeletal muscle,model_mean,0.10884633767720012
OSD-104|Soleus-both sides|8d0b8dc2,OSD-401|Quadriceps femoris|344e21b7,OSD-104,OSD-401,mouse,actual_flight,skeletal muscle,model_std,0.17877960394038472
OSD-104|Soleus-both sides|8d0b8dc2,OSD-419|Right gastrocnemius|2664dccf,OSD-104,OSD-419,mouse,actual_flight,skeletal muscle,raw,0.18588508953703978
OSD-104|Soleus-both sides|8d0b8dc2,OSD-419|Right gastrocnemius|2664dccf,OSD-104,OSD-419,mouse,actual_flight,skeletal muscle,model_mean,0.6032424491552139
OSD-104|Soleus-both sides|8d0b8dc2,OSD-419|Right gastrocnemius|2664dccf,OSD-104,OSD-419,mouse,actual_flight,skeletal muscle,model_std,0.23887356028865836
OSD-104|Soleus-both sides|8d0b8dc2,OSD-576|Right tibialis anterior|52cb5fea,OSD-104,OSD-576,mouse,actual_flight,skeletal muscle,raw,0.08875351564827082
OSD-104|Soleus-both sides|8d0b8dc2,OSD-576|Right tibialis anterior|52cb5fea,OSD-104,OSD-576,mouse,actual_flight,skeletal muscle,model_mean,0.2637600615017564
OSD-104|Soleus-both sides|8d0b8dc2,OSD-576|Right tibialis anterior|52cb5fea,OSD-104,OSD-576,mouse,actual_flight,skeletal muscle,model_std,0.22908808018011378
OSD-104|Soleus-both sides|8d0b8dc2,OSD-665|Right extensor digitorum longus|52cb5fea,OSD-104,OSD-665,mouse,actual_flight,skeletal muscle,raw,0.046324794714854414
OSD-104|Soleus-both sides|8d0b8dc2,OSD-665|Right extensor digitorum longus|52cb5fea,OSD-104,OSD-665,mouse,actual_flight,skeletal muscle,model_mean,0.2746584134410184
OSD-104|Soleus-both sides|8d0b8dc2,OSD-665|Right extensor digitorum longus|52cb5fea,OSD-104,OSD-665,mouse,actual_flight,skeletal muscle,model_std,0.2947295371946381
OSD-104|Soleus-both sides|8d0b8dc2,OSD-666|Right quadriceps femoris|52cb5fea,OSD-104,OSD-666,mouse,actual_flight,skeletal muscle,raw,0.03810770006109202
OSD-104|Soleus-both sides|8d0b8dc2,OSD-666|Right quadriceps femoris|52cb5fea,OSD-104,OSD-666,mouse,actual_flight,skeletal muscle,model_mean,0.39999641136555986
OSD-104|Soleus-both sides|8d0b8dc2,OSD-666|Right quadriceps femoris|52cb5fea,OSD-104,OSD-666,mouse,actual_flight,skeletal muscle,model_std,0.24581184460659242
OSD-104|Soleus-both sides|8d0b8dc2,OSD-770|Right soleus|df447f03,OSD-104,OSD-770,mouse,actual_flight,skeletal muscle,raw,0.11798103901058195
OSD-104|Soleus-both sides|8d0b8dc2,OSD-770|Right soleus|df447f03,OSD-104,OSD-770,mouse,actual_flight,skeletal muscle,model_mean,-0.10864172097407605
OSD-104|Soleus-both sides|8d0b8dc2,OSD-770|Right soleus|df447f03,OSD-104,OSD-770,mouse,actual_flight,skeletal muscle,model_std,0.5051531823307882
