comparison,pool,source,pathway,n_genes,source_set_fraction,status,zscore_shift,rank_shift,background_centered_shift,leave_one_sign_retention,robust
endothelial_source,microgravity_vs_ground,author_CPM,DNA Repair,135,0.9,ok,0.011390960158260383,0.005489510097442363,0.028991714726531503,0.3333333333333333,False
endothelial_source,microgravity_vs_ground,author_CPM,Myogenesis,128,0.64,ok,-0.46561973845417,-0.022020700877989685,-0.0985143940564483,1.0,True
endothelial_source,microgravity_vs_ground,author_CPM,Unfolded Protein Response,100,0.8849557522123894,ok,-0.12100786362071819,0.0005755373902511796,-0.01032185506351957,0.8333333333333334,False
endothelial_source,microgravity_vs_ground,author_CPM,Inflammatory Response,113,0.565,ok,-0.2589807550348996,-0.013480504448891928,-0.055870641489971895,1.0,True
endothelial_source,microgravity_vs_ground,author_CPM,Oxidative Phosphorylation,169,0.845,ok,0.4612894698106642,0.024257219991866696,0.10834413006647436,1.0,True
endothelial_source,microgravity_vs_ground,author_CPM,Reactive Oxygen Species Pathway,42,0.8571428571428571,ok,0.2455557240128127,0.0076056398944677195,0.06530075488956599,1.0,True
endothelial_source,microgravity_vs_ground,author_CPM,p53 Pathway,173,0.865,ok,-0.2171909226426182,-0.00973410054618451,-0.04168909526596931,0.8333333333333334,False
endothelial_source,microgravity_vs_ground,author_CPM,Circadian clock,100,0.8928571428571429,ok,0.16097798710774658,0.006462306993642253,0.043422399843453086,1.0,True
endothelial_source,microgravity_vs_ground,author_CPM,Muscle contraction,95,0.46568627450980393,insufficient_coverage,,,,,False
endothelial_source,microgravity_vs_ground,NCBI_counts,TNF-alpha Signaling via NF-kB,164,0.82,ok,-0.43299464384365327,-0.0249156347149303,-0.11351771395523541,1.0,True
endothelial_source,microgravity_vs_ground,NCBI_counts,DNA Repair,135,0.9,ok,-0.0031985092819909484,0.005773539206781808,0.03053980324219774,0.6666666666666666,False
endothelial_source,microgravity_vs_ground,NCBI_counts,Myogenesis,128,0.64,ok,-0.5038153291569345,-0.022320854147744262,-0.09992501156266637,1.0,True
endothelial_source,microgravity_vs_ground,NCBI_counts,Unfolded Protein Response,100,0.8849557522123894,ok,-0.12392811203820656,-0.0003607326672722122,-0.010524306539812511,0.8333333333333334,False
endothelial_source,microgravity_vs_ground,NCBI_counts,Inflammatory Response,113,0.565,ok,-0.2768521887838966,-0.013156851240090084,-0.05894629052330114,1.0,True
endothelial_source,microgravity_vs_ground,NCBI_counts,Oxidative Phosphorylation,169,0.845,ok,0.4893290380288344,0.025307009765194732,0.11354173611338958,1.0,True
endothelial_source,microgravity_vs_ground,NCBI_counts,Reactive Oxygen Species Pathway,42,0.8571428571428571,ok,0.27101081680786343,0.010365756959762273,0.0704810127035731,1.0,True
endothelial_source,microgravity_vs_ground,NCBI_counts,p53 Pathway,173,0.865,ok,-0.21820830742753453,-0.00955165999030494,-0.04051156415620971,0.8333333333333334,False
endothelial_source,microgravity_vs_ground,NCBI_counts,Circadian clock,100,0.8928571428571429,ok,0.13740890948986426,0.004831970935513241,0.03652676021643608,1.0,True
endothelial_source,microgravity_vs_ground,NCBI_counts,Muscle contraction,95,0.46568627450980393,insufficient_coverage,,,,,False
MG63_source_matched5,microgravity_vs_onboard_1g,author_counts,TNF-alpha Signaling via NF-kB,183,0.915,ok,0.8433850770465166,0.0830101282549911,0.6158857201661965,1.0,True
MG63_source_matched5,microgravity_vs_onboard_1g,author_counts,DNA Repair,137,0.9133333333333333,ok,-0.6119389632206761,-0.009354408654385082,-0.08392391005493494,1.0,True
MG63_source_matched5,microgravity_vs_onboard_1g,author_counts,Myogenesis,190,0.95,ok,-0.269373189387375,0.005451239514341344,0.04164072836204606,1.0,False
MG63_source_matched5,microgravity_vs_onboard_1g,author_counts,Unfolded Protein Response,102,0.9026548672566371,ok,-0.00029025240634469293,0.02838499390248639,0.19418810922607932,0.6,False
MG63_source_matched5,microgravity_vs_onboard_1g,author_counts,Inflammatory Response,177,0.885,ok,0.2744097181446114,0.04084400846201813,0.3236276963059082,1.0,True
MG63_source_matched5,microgravity_vs_onboard_1g,author_counts,Oxidative Phosphorylation,173,0.865,ok,-0.7043713817718058,0.00066405674555714,-0.018093363206919344,1.0,False
MG63_source_matched5,microgravity_vs_onboard_1g,author_counts,Reactive Oxygen Species Pathway,43,0.8775510204081632,ok,-0.3913405737458697,0.006463445717497018,0.037353225447910754,1.0,False
MG63_source_matched5,microgravity_vs_onboard_1g,author_counts,p53 Pathway,186,0.93,ok,-0.13258276181300926,0.02110955753485677,0.1669287363816626,0.8,False
MG63_source_matched5,microgravity_vs_onboard_1g,author_counts,Circadian clock,106,0.9464285714285714,ok,-0.40298682119456647,0.015028357114442614,0.0841783531412037,1.0,False
MG63_source_matched5,microgravity_vs_onboard_1g,author_counts,Muscle contraction,192,0.9411764705882353,ok,-0.30903022174519046,-0.0005511172733538849,0.023768405100985324,1.0,False
MG63_source_matched5,microgravity_vs_onboard_1g,NCBI_counts,TNF-alpha Signaling via NF-kB,183,0.915,ok,0.8408692305059657,0.08840518768503858,0.6275610848577498,1.0,True
MG63_source_matched5,microgravity_vs_onboard_1g,NCBI_counts,DNA Repair,137,0.9133333333333333,ok,-0.5894444402461175,-0.009491436634760153,-0.05632984893350157,1.0,True
MG63_source_matched5,microgravity_vs_onboard_1g,NCBI_counts,Myogenesis,190,0.95,ok,-0.38887650219511327,0.00490865517153527,0.033715680825569416,1.0,False
MG63_source_matched5,microgravity_vs_onboard_1g,NCBI_counts,Unfolded Protein Response,102,0.9026548672566371,ok,0.021990233977723758,0.0297228436248832,0.21673410580461527,0.4,False
MG63_source_matched5,microgravity_vs_onboard_1g,NCBI_counts,Inflammatory Response,177,0.885,ok,0.2265754323128582,0.04205037695868169,0.3216482425146854,1.0,True
MG63_source_matched5,microgravity_vs_onboard_1g,NCBI_counts,Oxidative Phosphorylation,173,0.865,ok,-0.6602038107299011,0.0027330323960464975,0.013721225656741609,1.0,False
MG63_source_matched5,microgravity_vs_onboard_1g,NCBI_counts,Reactive Oxygen Species Pathway,43,0.8775510204081632,ok,-0.3823293764772932,0.007459308211444804,0.0647316592173226,1.0,False
MG63_source_matched5,microgravity_vs_onboard_1g,NCBI_counts,p53 Pathway,186,0.93,ok,-0.13420664220532974,0.02372126357219806,0.1773812219245945,0.8,False
MG63_source_matched5,microgravity_vs_onboard_1g,NCBI_counts,Circadian clock,106,0.9464285714285714,ok,-0.40538888317626265,0.01879982426810911,0.11397809237331535,1.0,False
MG63_source_matched5,microgravity_vs_onboard_1g,NCBI_counts,Muscle contraction,192,0.9411764705882353,ok,-0.4006243153513659,0.0024305956743255197,0.02037555280719361,1.0,False
