contrast,study,species,tissue,setting,source,role,pathway,n_genes,n_source_genes,n_canonical_genes,observed_canonical_fraction,source_set_fraction,status,zscore_shift,mean_log_expression_shift,background_centered_shift,rank_shift,leave_one_min,leave_one_max,leave_one_sign_retention,genes_agreeing_fraction,excluding_MYH1_zscore_shift,passes_primary_checks,passes_primary_and_source_checks
GSE298393|YA,GSE298393,human,skeletal muscle,actual_flight,existing,primary,Muscle contraction,192,204,192,1.0,0.9411764705882352,ok,0.060744548494337,-0.0015460017538222,-0.0351226091296192,-0.0022435712162245,0.0032551451429774,0.0912877837941809,1.0,0.5052083333333334,0.060744548494337,False,False
GSE157937|microgravity_vs_onboard_1g|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_onboard_1g,NCBI,primary,TNF-alpha Signaling via NF-kB,184,200,184,1.0,0.92,ok,-0.5333387926086907,-0.2477349362460952,-0.2046251908689851,-0.0350838235997514,-1.0672534507402232,0.2201222161710123,0.8,0.7934782608695652,-0.5333387926086907,False,False
GSE157937|microgravity_vs_onboard_1g|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_onboard_1g,NCBI,primary,DNA Repair,137,150,137,1.0,0.9133333333333332,ok,-0.1632910437939412,-0.0441935385085647,-0.0010837931314546,-0.0027224109272241,-0.387004233211884,0.1378640312809931,0.8,0.5620437956204379,-0.1632910437939412,False,False
GSE157937|microgravity_vs_onboard_1g|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_onboard_1g,NCBI,primary,Myogenesis,190,200,190,1.0,0.95,ok,-0.2824732044939383,-0.1109996573460341,-0.067889911968924,-0.0116476173933182,-0.460111818847817,-0.0403584458125237,1.0,0.6421052631578947,-0.2902439797887168,True,True
GSE157937|microgravity_vs_onboard_1g|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_onboard_1g,NCBI,primary,Unfolded Protein Response,102,113,102,1.0,0.9026548672566372,ok,-0.2315191918426709,-0.0955032029377873,-0.0523934575606772,-0.0106766755106884,-0.3683446096322892,-0.0454759016479181,1.0,0.6470588235294118,-0.2315191918426709,True,True
GSE157937|microgravity_vs_onboard_1g|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_onboard_1g,NCBI,primary,Inflammatory Response,177,200,177,1.0,0.885,ok,-0.1247746632316039,-0.0846125023429,-0.0415027569657899,-0.0069821247661488,-0.3397814790861576,0.1782084891297461,0.8,0.5706214689265536,-0.1247746632316039,False,False
GSE157937|microgravity_vs_onboard_1g|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_onboard_1g,NCBI,primary,Oxidative Phosphorylation,173,200,173,1.0,0.865,ok,0.1567654958094628,0.0278832839303051,0.0709930293074152,0.0111721576781955,-0.0812417719616046,0.3311701356010481,0.8,0.6184971098265896,0.1567654958094628,False,False
GSE157937|microgravity_vs_onboard_1g|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_onboard_1g,NCBI,primary,Reactive Oxygen Species Pathway,44,49,44,1.0,0.8979591836734694,ok,0.0625148273316618,-0.0005135531678348,0.0425961922092752,0.0030565556555655,-0.0881173804611822,0.1841636041677268,0.6,0.5227272727272727,0.0625148273316618,False,False
GSE157937|microgravity_vs_onboard_1g|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_onboard_1g,NCBI,primary,p53 Pathway,186,200,186,1.0,0.93,ok,-0.5680097630107598,-0.2337440078123394,-0.1906342624352293,-0.0326132344417235,-1.128753679430506,0.2239556738596498,0.8,0.8225806451612904,-0.5680097630107598,False,False
GSE157937|microgravity_vs_onboard_1g|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_onboard_1g,NCBI,primary,Circadian clock,106,112,106,1.0,0.9464285714285714,ok,-0.0103049990476003,-0.0401244905115394,0.0029852548655706,-0.0003774103825479,-0.0733505397614007,0.0682797795668207,0.6,0.5,-0.0103049990476003,False,False
GSE157937|microgravity_vs_onboard_1g|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,microgravity_vs_onboard_1g,NCBI,primary,Muscle contraction,192,204,192,1.0,0.9411764705882352,ok,-0.0745757123519924,-0.0618461712333051,-0.018736425856195,-0.0008403809130912,-0.167897976081509,0.0648091381137591,0.6,0.546875,-0.0745757123519924,False,False
GSE157937|onboard_1g_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,onboard_1g_vs_ground,NCBI,primary,TNF-alpha Signaling via NF-kB,184,200,184,1.0,0.92,ok,0.1613661765157478,0.0974033975153756,0.0970361546437912,0.0170301812789975,-0.4829113269926998,0.7513649937573902,0.8,0.6684782608695652,0.1613661765157478,False,False
GSE157937|onboard_1g_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,onboard_1g_vs_ground,NCBI,primary,DNA Repair,137,150,137,1.0,0.9133333333333332,ok,0.1548224489389084,0.0393266936179488,0.0389594507463644,0.0082848722828487,-0.0376839562652127,0.3189373230438947,0.8,0.5912408759124088,0.1548224489389084,False,False
GSE157937|onboard_1g_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,onboard_1g_vs_ground,NCBI,primary,Myogenesis,190,200,190,1.0,0.95,ok,-0.1097903854444211,-0.0018726935920612,-0.0022399364636456,0.0002881130218284,-0.4514492493137528,0.2143345705902084,0.8,0.5105263157894737,-0.1039360589431805,False,False
GSE157937|onboard_1g_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,onboard_1g_vs_ground,NCBI,primary,Unfolded Protein Response,102,113,102,1.0,0.9026548672566372,ok,0.0753008372196984,0.0452883359458722,0.0449210930742878,0.0102657520654027,-0.1118880846307628,0.2315053844725927,0.6,0.6176470588235294,0.0753008372196984,False,False
GSE157937|onboard_1g_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,onboard_1g_vs_ground,NCBI,primary,Inflammatory Response,177,200,177,1.0,0.885,ok,-0.0989750305059505,0.0038486816122311,0.0034814387406467,0.0013114616546399,-0.3572510647332481,0.164852690815901,0.8,0.5254237288135594,-0.0989750305059505,False,False
GSE157937|onboard_1g_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,onboard_1g_vs_ground,NCBI,primary,Oxidative Phosphorylation,173,200,173,1.0,0.865,ok,0.3393911792820394,0.0477378881017829,0.0473706452301985,0.0079155140947618,-0.0041369748290065,0.6370639265865521,0.8,0.6936416184971098,0.3393911792820394,False,False
GSE157937|onboard_1g_vs_ground|NCBI,GSE157937,human,microvascular endothelial HMEC-1 cells,onboard_1g_vs_ground,NCBI,primary,Reactive Oxygen Species Pathway,44,49,44,1.0,0.8979591836734694,ok,0.1709246995895136,0.0332613170824274,0.032894074210843,0.0066634163416341,0.0867523999964921,0.2824745545217888,1.0,0.5227272727272727,0.1709246995895136,True,False
