contrast,study,species,tissue,setting,source,role,pathway,n_genes,n_source_genes,n_canonical_genes,observed_canonical_fraction,source_set_fraction,status,zscore_shift,mean_log_expression_shift,background_centered_shift,rank_shift,leave_one_min,leave_one_max,leave_one_sign_retention,genes_agreeing_fraction,excluding_MYH1_zscore_shift
GSE224805|microgravity_vs_onboard_1g|NCBI,GSE224805,human,osteoblast-like MG63 cancer cells,microgravity_vs_onboard_1g,NCBI,sensitivity,Oxidative Phosphorylation,173,200,173,1.0,0.865,ok,-0.6621918902328336,-0.1038689090294298,0.013550904530467811,0.0027222635558353803,-0.7674369730069225,-0.5338225930144772,1.0,0.7109826589595376,-0.6621918902328336
GSE224805|microgravity_vs_onboard_1g|NCBI,GSE224805,human,osteoblast-like MG63 cancer cells,microgravity_vs_onboard_1g,NCBI,sensitivity,Reactive Oxygen Species Pathway,44,49,44,1.0,0.8979591836734694,ok,-0.3386179961591834,-0.02432859561998768,0.09309121793990993,0.00813293829382955,-0.4047230889041799,-0.29093167172813084,1.0,0.6136363636363636,-0.3386179961591834
GSE224805|microgravity_vs_onboard_1g|NCBI,GSE224805,human,osteoblast-like MG63 cancer cells,microgravity_vs_onboard_1g,NCBI,sensitivity,p53 Pathway,186,200,186,1.0,0.93,ok,-0.13516849987340201,0.05980546683186505,0.17722528039176266,0.023714409075315968,-0.3013109445637702,0.014824641806548395,0.8,0.532258064516129,-0.13516849987340201
GSE224805|microgravity_vs_onboard_1g|NCBI,GSE224805,human,osteoblast-like MG63 cancer cells,microgravity_vs_onboard_1g,NCBI,sensitivity,Circadian clock,106,112,106,1.0,0.9464285714285714,ok,-0.40681334643736167,-0.0036096902821887156,0.1138101232777089,0.0187856238454035,-0.49657587653510493,-0.3436751157491699,1.0,0.6415094339622641,-0.40681334643736167
GSE224805|microgravity_vs_onboard_1g|NCBI,GSE224805,human,osteoblast-like MG63 cancer cells,microgravity_vs_onboard_1g,NCBI,sensitivity,Muscle contraction,192,204,192,1.0,0.9411764705882353,ok,-0.4012858450684106,-0.09705823700399674,0.020361576555900873,0.0024258858177483855,-0.5264062159071241,-0.35620819581561247,1.0,0.5989583333333334,-0.4012858450684106
GSE224805|microgravity_vs_onboard_1g|author,GSE224805,human,osteoblast-like MG63 cancer cells,microgravity_vs_onboard_1g,author,primary,TNF-alpha Signaling via NF-kB,183,200,184,0.9945652173913043,0.915,ok,0.8735146810559452,0.5556739972860218,0.6400571523511132,0.08581838994768187,0.829016466937422,0.9606492681832197,1.0,0.7595628415300546,0.8735146810559452
GSE224805|microgravity_vs_onboard_1g|author,GSE224805,human,osteoblast-like MG63 cancer cells,microgravity_vs_onboard_1g,author,primary,DNA Repair,137,150,137,1.0,0.9133333333333333,ok,-0.5713561722189382,-0.17711886734567983,-0.09273571228058852,-0.010881649223475454,-0.6365427640163426,-0.5090558695082403,1.0,0.7007299270072993,-0.5713561722189382
GSE224805|microgravity_vs_onboard_1g|author,GSE224805,human,osteoblast-like MG63 cancer cells,microgravity_vs_onboard_1g,author,primary,Myogenesis,190,200,190,1.0,0.95,ok,-0.19929173480697698,-0.028914473847927447,0.05546868121716386,0.007601336101832723,-0.26936266053155977,-0.07792890527675381,1.0,0.5,-0.20034618843029434
GSE224805|microgravity_vs_onboard_1g|author,GSE224805,human,osteoblast-like MG63 cancer cells,microgravity_vs_onboard_1g,author,primary,Unfolded Protein Response,102,113,102,1.0,0.9026548672566371,ok,-0.0113465915908995,0.10133299468925117,0.18571614975434247,0.027367717989249418,-0.05809322202910712,0.07692764592867726,0.6666666666666666,0.5392156862745098,-0.0113465915908995
GSE224805|microgravity_vs_onboard_1g|author,GSE224805,human,osteoblast-like MG63 cancer cells,microgravity_vs_onboard_1g,author,primary,Inflammatory Response,177,200,177,1.0,0.885,ok,0.37536251472512083,0.2639038954526467,0.348287050517738,0.044914223040222356,0.2744203049923198,0.48978405811182346,1.0,0.5875706214689266,0.37536251472512083
GSE224805|microgravity_vs_onboard_1g|author,GSE224805,human,osteoblast-like MG63 cancer cells,microgravity_vs_onboard_1g,author,primary,Oxidative Phosphorylation,173,200,173,1.0,0.865,ok,-0.7171050711537574,-0.11844326784701487,-0.03406011278192356,-0.0011311805945896092,-0.8057677331884675,-0.6274255126870363,1.0,0.7225433526011561,-0.7171050711537574
GSE224805|microgravity_vs_onboard_1g|author,GSE224805,human,osteoblast-like MG63 cancer cells,microgravity_vs_onboard_1g,author,primary,Reactive Oxygen Species Pathway,43,49,44,0.9772727272727273,0.8775510204081632,ok,-0.3342114914863702,-0.04582284131022352,0.03856031375486779,0.0065248120316130365,-0.3913250268649602,-0.27207421399676196,1.0,0.5581395348837209,-0.3342114914863702
GSE224805|microgravity_vs_onboard_1g|author,GSE224805,human,osteoblast-like MG63 cancer cells,microgravity_vs_onboard_1g,author,primary,p53 Pathway,186,200,186,1.0,0.93,ok,-0.08011589232378125,0.09183012563267967,0.17621328069777098,0.022053249381307594,-0.1325690875350711,0.02826128286535893,0.8333333333333334,0.5268817204301075,-0.08011589232378125
GSE224805|microgravity_vs_onboard_1g|author,GSE224805,human,osteoblast-like MG63 cancer cells,microgravity_vs_onboard_1g,author,primary,Circadian clock,106,112,106,1.0,0.9464285714285714,ok,-0.4034363992577089,-0.012066411041893765,0.07231674402319754,0.013788513610514253,-0.44047869840220677,-0.35303766744118514,1.0,0.6320754716981132,-0.4034363992577089
GSE224805|microgravity_vs_onboard_1g|author,GSE224805,human,osteoblast-like MG63 cancer cells,microgravity_vs_onboard_1g,author,primary,Muscle contraction,192,204,192,1.0,0.9411764705882353,ok,-0.24802252732272173,-0.06036987898470314,0.02401327608038817,0.0008891298690826277,-0.3090213496277552,-0.1868693246106782,1.0,0.5208333333333334,-0.24802252732272173
