contrast,gene,log1p_expression_shift
GSE234465|YA,MGST3,0.12327321370442723
GSE234465|YA,MRPL11,0.23707119623819972
GSE234465|YA,MRPL15,0.1967388788859048
GSE234465|YA,MRPL34,0.14884376525878906
GSE234465|YA,MRPL35,0.03636089960734035
GSE234465|YA,MRPS11,0.0544896125793457
GSE234465|YA,MRPS12,-0.012312889099121094
GSE234465|YA,MRPS15,0.18406279881795218
GSE234465|YA,MRPS22,0.039106448491414536
GSE234465|YA,MRPS30,-0.08295599619547556
GSE234465|YA,MTRF1,-0.04860440889994311
GSE234465|YA,MTRR,-0.24145015080769827
GSE234465|YA,MTX2,-0.2102228800455732
GSE234465|YA,NDUFA1,0.11033233006795218
GSE234465|YA,NDUFA2,0.11106602350870798
GSE234465|YA,NDUFA3,-0.008701642354329131
GSE234465|YA,NDUFA4,0.11931133270263672
GSE234465|YA,NDUFA5,-0.17474301656087254
GSE234465|YA,NDUFA6,0.2532149950663243
GSE234465|YA,NDUFA7,0.0030921300252275685
GSE234465|YA,NDUFA8,0.11043532689412405
GSE234465|YA,NDUFA9,0.23492058118184422
GSE234465|YA,NDUFAB1,-0.13633457819620798
GSE234465|YA,NDUFB1,-0.146989107131958
GSE234465|YA,NDUFB2,0.06589349110921239
GSE234465|YA,NDUFB3,0.0502161979675293
GSE234465|YA,NDUFB4,0.23169294993082623
GSE234465|YA,NDUFB5,-0.05455080668131451
GSE234465|YA,NDUFB6,0.18027242024739554
GSE234465|YA,NDUFB7,0.3378931681315098
GSE234465|YA,NDUFB8,0.16662120819091797
GSE234465|YA,NDUFC1,0.027543624242146958
GSE234465|YA,NDUFC2,0.10454368591308594
GSE234465|YA,NDUFS1,0.04569864273071289
GSE234465|YA,NDUFS2,0.05982367197672467
GSE234465|YA,NDUFS3,0.24937661488850882
GSE234465|YA,NDUFS4,0.39933300018310547
GSE234465|YA,NDUFS6,0.20940256118774414
GSE234465|YA,NDUFS7,0.40085069338480617
GSE234465|YA,NDUFS8,0.46363162994384766
GSE234465|YA,NDUFV1,0.1864644686381025
GSE234465|YA,NDUFV2,0.1897908846537275
GSE234465|YA,NQO2,0.17520197232564305
GSE234465|YA,OAT,-0.1072230339050293
GSE234465|YA,OGDH,0.27573235829671194
GSE234465|YA,OPA1,-0.18818680445353175
GSE234465|YA,OXA1L,0.23538700739542584
GSE234465|YA,PDHA1,-0.1745909055074062
GSE234465|YA,PDHB,-0.006712754567463897
GSE234465|YA,PDHX,-0.05991220474243164
GSE234465|YA,PDK4,-2.1573671102523804
GSE234465|YA,PDP1,-0.12016693751017282
GSE234465|YA,PHB2,0.23616202672322562
GSE234465|YA,PHYH,0.20069773991902728
GSE234465|YA,PMPCA,0.038015206654866684
GSE234465|YA,POLR2F,0.12490129470825195
GSE234465|YA,POR,0.2839405536651607
GSE234465|YA,PRDX3,-0.12741835912068655
GSE234465|YA,RETSAT,-0.43041793505350734
GSE234465|YA,RHOT1,-0.05434187253316258
GSE234465|YA,RHOT2,0.16173362731933594
GSE234465|YA,SDHA,0.2872465451558428
GSE234465|YA,SDHB,0.0049222310384120505
GSE234465|YA,SDHC,-0.06914361317952444
GSE234465|YA,SDHD,-0.034815311431884766
GSE234465|YA,SLC25A11,0.09203791618347124
GSE234465|YA,SLC25A12,-0.082473436991374
GSE234465|YA,SLC25A20,-0.38211305936177586
GSE234465|YA,SLC25A3,0.08203983306884766
GSE234465|YA,SLC25A4,0.0640099843343096
