contrast,study,species,tissue,setting,source,role,pathway,n_genes,n_source_genes,n_canonical_genes,observed_canonical_fraction,source_set_fraction,status,zscore_shift,mean_log_expression_shift,background_centered_shift,rank_shift,leave_one_min,leave_one_max,leave_one_sign_retention,genes_agreeing_fraction,excluding_MYH1_zscore_shift
OSD-101|Left gastrocnemius|14bf1f06,OSD-101,mouse,skeletal muscle,actual_flight,existing,primary,p53 Pathway,186,200,186,1.0,0.93,ok,-0.04537314261825205,-0.01207058923402382,-0.011019425625833357,-0.002182208372183303,-0.16495076183419935,0.06886309484822933,0.75,0.5268817204301075,-0.04537314261825205
OSD-101|Left gastrocnemius|14bf1f06,OSD-101,mouse,skeletal muscle,actual_flight,existing,primary,Circadian clock,106,112,106,1.0,0.9464285714285714,ok,-0.11020205235133773,-0.03624768893720587,-0.035196525329015405,-0.005849803109195251,-0.2395192980454115,0.05035731951741808,0.9166666666666666,0.5660377358490566,-0.11020205235133773
OSD-101|Left gastrocnemius|14bf1f06,OSD-101,mouse,skeletal muscle,actual_flight,existing,primary,Muscle contraction,192,204,192,1.0,0.9411764705882353,ok,-0.05566224309729759,-0.030699951970342365,-0.0296487883621519,-0.003609685817122732,-0.10489673718611783,0.019226452665395598,0.8333333333333334,0.5416666666666666,-0.05566224309729759
OSD-103|Left quadriceps femoris|14bf1f06,OSD-103,mouse,skeletal muscle,actual_flight,existing,primary,TNF-alpha Signaling via NF-kB,184,200,184,1.0,0.92,ok,0.43780093755042215,0.11070438792449844,0.055564074959371546,0.007841282128471017,0.367641025596223,0.5048903818474982,1.0,0.7065217391304348,0.43780093755042215
OSD-103|Left quadriceps femoris|14bf1f06,OSD-103,mouse,skeletal muscle,actual_flight,existing,primary,DNA Repair,137,150,137,1.0,0.9133333333333333,ok,0.3614513240116467,0.045302901915534655,-0.009837411049592237,-0.00470581912025303,0.1548960182027242,0.4377612684333876,1.0,0.6642335766423357,0.3614513240116467
OSD-103|Left quadriceps femoris|14bf1f06,OSD-103,mouse,skeletal muscle,actual_flight,existing,primary,Myogenesis,190,200,190,1.0,0.95,ok,0.19512392261252037,0.06029214253077164,0.00515182956564475,0.00365361144370957,0.14552602739936832,0.2344728168152168,1.0,0.6157894736842106,0.19709792915269012
OSD-103|Left quadriceps femoris|14bf1f06,OSD-103,mouse,skeletal muscle,actual_flight,existing,primary,Unfolded Protein Response,102,113,102,1.0,0.9026548672566371,ok,0.4052553550499194,0.0462515565499757,-0.008888756415151189,-0.0017314443086828835,0.22237711080317685,0.46511393258367395,1.0,0.7352941176470589,0.4052553550499194
OSD-103|Left quadriceps femoris|14bf1f06,OSD-103,mouse,skeletal muscle,actual_flight,existing,primary,Inflammatory Response,177,200,177,1.0,0.885,ok,0.30239838602503183,0.0521096539053989,-0.0030306590597279914,-0.0011993929922142765,0.2094738864943034,0.39880864473351435,1.0,0.672316384180791,0.30239838602503183
OSD-103|Left quadriceps femoris|14bf1f06,OSD-103,mouse,skeletal muscle,actual_flight,existing,primary,Oxidative Phosphorylation,173,200,173,1.0,0.865,ok,0.42242535985322693,0.050075391813509285,-0.005064921151617607,0.00010882222336583425,0.27859449340823994,0.5776500883996811,1.0,0.8034682080924855,0.42242535985322693
OSD-103|Left quadriceps femoris|14bf1f06,OSD-103,mouse,skeletal muscle,actual_flight,existing,primary,Reactive Oxygen Species Pathway,44,49,44,1.0,0.8979591836734694,ok,0.2807897541524683,0.05088224261293561,-0.004258070352191279,0.0005684940403041239,0.18991024999312286,0.3609551977818398,1.0,0.6136363636363636,0.2807897541524683
OSD-103|Left quadriceps femoris|14bf1f06,OSD-103,mouse,skeletal muscle,actual_flight,existing,primary,p53 Pathway,186,200,186,1.0,0.93,ok,0.30325152221614293,0.06453639253019272,0.009396079565065829,-0.0004357089931894542,0.2346352683070917,0.35165298739153106,1.0,0.6559139784946236,0.30325152221614293
OSD-103|Left quadriceps femoris|14bf1f06,OSD-103,mouse,skeletal muscle,actual_flight,existing,primary,Circadian clock,106,112,106,1.0,0.9464285714285714,ok,0.03338306330153956,-0.0042093511108518555,-0.05934966407597875,-0.004427710281246,-0.31079009888342146,0.12441901684149076,0.8333333333333334,0.4811320754716981,0.03338306330153956
OSD-103|Left quadriceps femoris|14bf1f06,OSD-103,mouse,skeletal muscle,actual_flight,existing,primary,Muscle contraction,192,204,192,1.0,0.9411764705882353,ok,0.24222372152421687,0.048920081392781256,-0.006220231572345636,0.0021583473000696962,0.20421520051805914,0.3180786987436932,1.0,0.6354166666666666,0.24222372152421687
OSD-104|Soleus-both sides|8d0b8dc2,OSD-104,mouse,skeletal muscle,actual_flight,existing,primary,TNF-alpha Signaling via NF-kB,184,200,184,1.0,0.92,ok,-0.15269855566162438,-0.04184139328772485,-0.06462075334679218,-0.010396179465492983,-0.20390462846527463,-0.0712824575846056,1.0,0.5597826086956522,-0.15269855566162438
OSD-104|Soleus-both sides|8d0b8dc2,OSD-104,mouse,skeletal muscle,actual_flight,existing,primary,DNA Repair,137,150,137,1.0,0.9133333333333333,ok,-0.012120310696802571,0.0032458027661608213,-0.01953355729290651,-0.0035074440682102415,-0.1298295808075571,0.06613126650572834,0.5833333333333334,0.48905109489051096,-0.012120310696802571
OSD-104|Soleus-both sides|8d0b8dc2,OSD-104,mouse,skeletal muscle,actual_flight,existing,primary,Myogenesis,190,200,190,1.0,0.95,ok,0.19912035010309467,0.037211091376497585,0.014431731317430252,0.0008712062054245795,0.14656363067325326,0.25469950246887557,1.0,0.6,0.19029991465110044
OSD-104|Soleus-both sides|8d0b8dc2,OSD-104,mouse,skeletal muscle,actual_flight,existing,primary,Unfolded Protein Response,102,113,102,1.0,0.9026548672566371,ok,-0.32458644863885056,-0.03469889162996953,-0.05747825168903686,-0.005184797295113119,-0.3995256584454884,-0.23945683384433863,1.0,0.6176470588235294,-0.32458644863885056
OSD-104|Soleus-both sides|8d0b8dc2,OSD-104,mouse,skeletal muscle,actual_flight,existing,primary,Inflammatory Response,177,200,177,1.0,0.885,ok,0.12492306546478635,-0.0030479498958237983,-0.02582730995489113,-0.004076160352879277,0.06229818523429077,0.228905022722136,1.0,0.576271186440678,0.12492306546478635
OSD-104|Soleus-both sides|8d0b8dc2,OSD-104,mouse,skeletal muscle,actual_flight,existing,primary,Oxidative Phosphorylation,173,200,173,1.0,0.865,ok,0.2818465433280469,0.01624115348321542,-0.0065382065758519126,0.0009571337001397229,0.19515338307276756,0.36186090980444235,1.0,0.6011560693641619,0.2818465433280469
