study,sample,species,tissue,condition_name,unit,survey_source,platform_id,instrument_model,library_strategy,library_source,library_selection,id.assay name,library_type,study.parameter value.sample preservation method,study.parameter value.carcass preservation method
OSD-326,SRR11148754,mouse,skeletal muscle,ground,SRR11148754,general_survey_2026-09-12,,,,,,OSD-326_transcription-profiling_rna-sequencing-(rna-seq),unknown,snap frozen,
OSD-326,SRR11148756,mouse,skeletal muscle,ground,SRR11148756,general_survey_2026-09-12,,,,,,OSD-326_transcription-profiling_rna-sequencing-(rna-seq),unknown,snap frozen,
OSD-326,SRR11148760,mouse,skeletal muscle,flight,SRR11148760,general_survey_2026-09-12,,,,,,OSD-326_transcription-profiling_rna-sequencing-(rna-seq),unknown,snap frozen,
OSD-326,SRR11148757,mouse,skeletal muscle,flight,SRR11148757,general_survey_2026-09-12,,,,,,OSD-326_transcription-profiling_rna-sequencing-(rna-seq),unknown,snap frozen,
OSD-326,SRR11148759,mouse,skeletal muscle,flight,SRR11148759,general_survey_2026-09-12,,,,,,OSD-326_transcription-profiling_rna-sequencing-(rna-seq),unknown,snap frozen,
OSD-326,SRR11148758,mouse,skeletal muscle,flight,SRR11148758,general_survey_2026-09-12,,,,,,OSD-326_transcription-profiling_rna-sequencing-(rna-seq),unknown,snap frozen,
OSD-379,RR8_LVR_GC_ISS-T_OLD_GI16,mouse,liver,ground,RR8_LVR_GC_ISS-T_OLD_GI16,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-379,RR8_LVR_GC_ISS-T_OLD_GI11,mouse,liver,ground,RR8_LVR_GC_ISS-T_OLD_GI11,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-379,RR8_LVR_GC_ISS-T_OLD_GI20,mouse,liver,ground,RR8_LVR_GC_ISS-T_OLD_GI20,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-379,RR8_LVR_GC_ISS-T_OLD_GI13,mouse,liver,ground,RR8_LVR_GC_ISS-T_OLD_GI13,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-379,RR8_LVR_GC_ISS-T_OLD_GI19,mouse,liver,ground,RR8_LVR_GC_ISS-T_OLD_GI19,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-379,RR8_LVR_GC_ISS-T_OLD_GI14,mouse,liver,ground,RR8_LVR_GC_ISS-T_OLD_GI14,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-379,RR8_LVR_FLT_ISS-T_OLD_FI11,mouse,liver,flight,RR8_LVR_FLT_ISS-T_OLD_FI11,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,-80 {degree Celsius}
OSD-379,RR8_LVR_FLT_ISS-T_OLD_FI20,mouse,liver,flight,RR8_LVR_FLT_ISS-T_OLD_FI20,general_survey_2026-09-12,,,,,,OSD-379_transcription-profiling_rna-sequencing-(rna-seq)_Illumina NovaSeq,unknown,Liquid Nitrogen,-80 {degree Celsius}
