training_study,gene,train_weight_times_effect,test_weight_times_effect,train_effect_log1pTPM,test_effect_log1pTPM
GSE234465,ACP2,-1.3605188595712494e-05,-0.00033623812153789774,-0.004707733790079605,-0.11634675661722849
GSE234465,ACP4,0.0,0.0,0.0,0.0
GSE234465,ACP5,6.2370207520171326e-06,4.52305651687727e-05,0.016866410151124004,0.12231436992685
GSE234465,ACP6,0.0001710531085826738,6.770615858274111e-05,0.09513966242472316,0.03765813509623195
GSE234465,ACP7,0.0,0.0,0.0,0.0
GSE234465,ACR,0.0,0.0,0.0,0.01333095816274484
GSE234465,ACRBP,0.0003540417970924185,2.0708446573979916e-05,-0.15201481835295758,-0.00889157938460508
GSE234465,ACRV1,0.0003751240823380423,-0.0002387368055311982,-0.07367976009845734,0.04689133912324906
GSE234465,ACSBG1,0.0008253605383835069,-0.000701356281543858,-0.127481403760612,0.10832827491685748
GSE234465,ACSBG2,0.000241021247572519,-0.0,-0.016147304326295853,0.0
GSE234465,ACSF2,0.003782223600926317,-0.00030021218042076926,0.7860166231791177,-0.062389691670735825
GSE234465,ACSF3,0.0009119377018650391,0.000369903901889026,0.12813659509023,0.05197528998057033
GSE234465,ACSL1,-5.124439313157173e-06,-9.695100480007598e-06,0.0314163366953526,0.059437632560729536
GSE234465,ACSL3,0.0005015196257880343,0.0018559605636902085,0.0935902992884321,0.34634717305501317
GSE234465,ACSL4,0.0012022059975911599,-0.001541196423684421,-0.36274604002634714,0.465030868848165
GSE234465,ACSL5,0.0001399221654008385,0.0004684571068140867,0.04259851388633251,0.14261912337193888
GSE234465,ACSL6,0.0010317713211918799,9.60194884424039e-05,0.07303135981783271,0.0067965000246961865
GSE234465,ACSM1,1.8181458145277203e-05,1.039856974862483e-05,0.009275753051042557,0.005305106130739054
GSE234465,ACSM3,0.0006404861557515516,-0.00025929414443205624,-0.17386207201828557,0.0703862477093935
GSE234465,ACSM4,0.0,0.0,0.0,0.0
GSE234465,ACSM5,0.001062746375417165,0.0007950914490652264,-0.24757780631383253,-0.1852248112360635
GSE234465,ACSS1,0.001957026389320884,0.00041631694558350577,-0.12197868619114162,-0.02594844624400136
GSE234465,ACSS2,0.003968435271494772,-0.0029877293872871877,-0.47964588801066066,0.3611126343409223
GSE234465,ACSS3,0.00013219762035631845,0.0001369721377369481,0.091803640127182,0.09511926770210265
GSE234465,ACTA1,0.0008306817196479415,-0.00038148326018754903,0.18888028462727746,-0.08674160639444928
GSE234465,ACTA2,0.0025207580849229113,-0.004769002168582793,0.40646751721700003,-0.7689926624298095
GSE234465,ACTB,0.00026545526535375617,-0.0010967040922159447,0.08477052052815726,-0.3502216339111328
GSE234465,ACTBL2,0.00020023012761177935,-9.173749219688281e-05,0.010284402718146643,-0.004711904873450597
GSE234465,ACTC1,0.0022210835002620466,-0.0008705588637816747,-0.29555495580037494,0.1158434549967442
GSE234465,ACTG1,-3.820038043794221e-05,-9.342534078631417e-05,-0.0510253111521406,-0.12479082743326851
GSE234465,ACTG2,0.0005733303809032681,-0.0035383425363906943,0.06355005999406178,-0.39220297398666537
GSE234465,ACTL6A,0.002250349431690274,-0.002236775402017418,-0.315277973810832,0.3133762280146284
GSE234465,ACTL6B,0.0,0.0,0.0,0.0
GSE234465,ACTL7A,0.0,0.0,0.0,0.0
GSE234465,ACTL7B,0.0005772192391467769,-0.0005544655831474428,-0.00820613590379556,0.007882654666900635
GSE234465,ACTL9,0.0,0.0,0.0,0.0
GSE234465,ACTN1,-4.272091764751691e-05,-0.0002554416112132971,-0.06104322274525975,-0.3649963537851968
GSE234465,ACTN2,0.0011750408998896465,-0.0010552737078162427,-0.1577138106028242,0.14163867632548044
