id.accession,id.assay name,id.sample name,study.characteristics.organism,study.characteristics.strain,study.characteristics.animal source,study.characteristics.age at launch,study.characteristics.sex,study.characteristics.material type,study.factor value.spaceflight,study.factor value.genotype,investigation.study assays.study assay measurement type,investigation.study assays.study assay technology type,assay.protocol ref,study.parameter value.habitat,study.parameter value.duration,study.parameter value.light cycle,study.parameter value.diet,study.parameter value.feeding schedule,study.parameter value.enrichment material,study.parameter value.euthanasia method,study.parameter value.age at euthanasia,study.parameter value.carcass preservation method,study.parameter value.sample weight,study.parameter value.sample preservation method,study.parameter value.sample storage temperature,study.comment.rfid,study.comment.alsda subject id,study.comment.euthanasia date,study.comment.bsp dissection date,study.comment.source description,investigation.study.comment.Project Identifier,id.assay name_rna,investigation.study assays.study assay measurement type_rna,investigation.study assays.study assay technology type_rna,study.characteristics.organism_rna,library_type,modalities_all,modalities_other,has_other_modalities,has_rna_sequencing_rna_seq,has_single_cell_rna_sequencing,counts_file,counts_path
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_BSL_0days_Rep9_B17,Mus musculus,,,11 {week},female,dorsal skin,Basal Control,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_FLT_25days_Rep1_F1,Mus musculus,,,11 {week},female,dorsal skin,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_FLT_25days_Rep2_F5,Mus musculus,,,11 {week},female,dorsal skin,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_FLT_25days_Rep3_F9,Mus musculus,,,11 {week},female,dorsal skin,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_FLT_25days_Rep4_F13,Mus musculus,,,11 {week},female,dorsal skin,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_FLT_25days_Rep5_F17,Mus musculus,,,11 {week},female,dorsal skin,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_FLT_75days_Rep1_F3,Mus musculus,,,11 {week},female,dorsal skin,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_FLT_75days_Rep2_F7,Mus musculus,,,11 {week},female,dorsal skin,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_FLT_75days_Rep3_F11,Mus musculus,,,11 {week},female,dorsal skin,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_FLT_75days_Rep4_F15,Mus musculus,,,11 {week},female,dorsal skin,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_FLT_75days_Rep5_F19,Mus musculus,,,11 {week},female,dorsal skin,Space Flight,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_GC_25days_Rep1_G1,Mus musculus,,,11 {week},female,dorsal skin,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_GC_25days_Rep2_G5,Mus musculus,,,11 {week},female,dorsal skin,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_GC_25days_Rep3_G9,Mus musculus,,,11 {week},female,dorsal skin,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_GC_25days_Rep4_G13,Mus musculus,,,11 {week},female,dorsal skin,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_GC_25days_Rep5_G17,Mus musculus,,,11 {week},female,dorsal skin,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_GC_75days_Rep1_G3,Mus musculus,,,11 {week},female,dorsal skin,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_GC_75days_Rep2_G7,Mus musculus,,,11 {week},female,dorsal skin,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_GC_75days_Rep3_G15,Mus musculus,,,11 {week},female,dorsal skin,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_GC_75days_Rep4_G11,Mus musculus,,,11 {week},female,dorsal skin,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_GC_75days_Rep5_G19,Mus musculus,,,11 {week},female,dorsal skin,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_VIV_25days_Rep1_V1,Mus musculus,,,11 {week},female,dorsal skin,Vivarium Control,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_VIV_25days_Rep2_V5,Mus musculus,,,11 {week},female,dorsal skin,Vivarium Control,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_VIV_25days_Rep3_V9,Mus musculus,,,11 {week},female,dorsal skin,Vivarium Control,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_VIV_25days_Rep4_V13,Mus musculus,,,11 {week},female,dorsal skin,Vivarium Control,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_VIV_25days_Rep5_V17,Mus musculus,,,11 {week},female,dorsal skin,Vivarium Control,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_VIV_75days_Rep1_V3,Mus musculus,,,11 {week},female,dorsal skin,Vivarium Control,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_VIV_75days_Rep2_V7,Mus musculus,,,11 {week},female,dorsal skin,Vivarium Control,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_VIV_75days_Rep3_V11,Mus musculus,,,11 {week},female,dorsal skin,Vivarium Control,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_VIV_75days_Rep4_V15,Mus musculus,,,11 {week},female,dorsal skin,Vivarium Control,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-254,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),Mmus_C57-6J_SKN_VIV_75days_Rep5_V19,Mus musculus,,,11 {week},female,dorsal skin,Vivarium Control,,transcription profiling,RNA Sequencing (RNA-Seq),,,,,,,,"Ketamine/Xylazine/Acepromazine, Cardiac Puncture",,RNALater,,RNALater,-80 {degree Celsius},,,,,,,rr7_skn_transcription_profiling_RNA_Sequencing_(RNA-Seq),transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-254_rna_seq_Unnormalized_Counts.csv,data/osdr/raw/GLDS-254_rna_seq_Unnormalized_Counts.csv
OSD-255,OSD-255_transcription-profiling_rna-sequencing-(rna-seq)_illumina,GSM3932693,Mus musculus,C57BL/6J,Jackson Laboratory,10 {week},Male,Right retina,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,35 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,Hut,Carbon Dioxide,,,,Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-255_transcription-profiling_rna-sequencing-(rna-seq)_illumina,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-255_rna_seq_STAR_Unnormalized_Counts.csv,data/osdr/raw/GLDS-255_rna_seq_STAR_Unnormalized_Counts.csv
OSD-255,OSD-255_transcription-profiling_rna-sequencing-(rna-seq)_illumina,GSM3932694,Mus musculus,C57BL/6J,Jackson Laboratory,10 {week},Male,Right retina,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,35 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,Hut,Carbon Dioxide,,,,Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-255_transcription-profiling_rna-sequencing-(rna-seq)_illumina,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-255_rna_seq_STAR_Unnormalized_Counts.csv,data/osdr/raw/GLDS-255_rna_seq_STAR_Unnormalized_Counts.csv
OSD-255,OSD-255_transcription-profiling_rna-sequencing-(rna-seq)_illumina,GSM3932695,Mus musculus,C57BL/6J,Jackson Laboratory,10 {week},Male,Right retina,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,35 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,Hut,Carbon Dioxide,,,,Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-255_transcription-profiling_rna-sequencing-(rna-seq)_illumina,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-255_rna_seq_STAR_Unnormalized_Counts.csv,data/osdr/raw/GLDS-255_rna_seq_STAR_Unnormalized_Counts.csv
OSD-255,OSD-255_transcription-profiling_rna-sequencing-(rna-seq)_illumina,GSM3932696,Mus musculus,C57BL/6J,Jackson Laboratory,10 {week},Male,Right retina,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,35 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,Hut,Carbon Dioxide,,,,Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-255_transcription-profiling_rna-sequencing-(rna-seq)_illumina,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-255_rna_seq_STAR_Unnormalized_Counts.csv,data/osdr/raw/GLDS-255_rna_seq_STAR_Unnormalized_Counts.csv
OSD-255,OSD-255_transcription-profiling_rna-sequencing-(rna-seq)_illumina,GSM3932697,Mus musculus,C57BL/6J,Jackson Laboratory,10 {week},Male,Right retina,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,35 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,Hut,Carbon Dioxide,,,,Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-255_transcription-profiling_rna-sequencing-(rna-seq)_illumina,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-255_rna_seq_STAR_Unnormalized_Counts.csv,data/osdr/raw/GLDS-255_rna_seq_STAR_Unnormalized_Counts.csv
OSD-255,OSD-255_transcription-profiling_rna-sequencing-(rna-seq)_illumina,GSM3932698,Mus musculus,C57BL/6J,Jackson Laboratory,10 {week},Male,Right retina,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,35 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,Hut,Carbon Dioxide,,,,Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-255_transcription-profiling_rna-sequencing-(rna-seq)_illumina,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-255_rna_seq_STAR_Unnormalized_Counts.csv,data/osdr/raw/GLDS-255_rna_seq_STAR_Unnormalized_Counts.csv
OSD-255,OSD-255_transcription-profiling_rna-sequencing-(rna-seq)_illumina,GSM3932699,Mus musculus,C57BL/6J,Jackson Laboratory,10 {week},Male,Right retina,Ground Control,,transcription profiling,RNA Sequencing (RNA-Seq),,Rodent Habitat,35 {day},12 h light/dark cycle,Nutrient Upgraded Rodent Food Bar (NuRFB),ad libitum,Hut,Carbon Dioxide,,,,Liquid Nitrogen,-80 {degree Celsius},,,,,,,OSD-255_transcription-profiling_rna-sequencing-(rna-seq)_illumina,transcription profiling,RNA Sequencing (RNA-Seq),Mus musculus,unknown,rna sequencing (rna-seq),,0,1,0,GLDS-255_rna_seq_STAR_Unnormalized_Counts.csv,data/osdr/raw/GLDS-255_rna_seq_STAR_Unnormalized_Counts.csv
