recipient,donor,seed,effect_percent,positive,beats_all_three_random_controls,random_control_mean_effect_percent,held_out_donors
skeletal_muscle,brain,101,-6.352975806764701,False,False,-5.362979715804617,159
skeletal_muscle,colon,17,-5.492636151323982,False,False,-5.456243751795644,159
skeletal_muscle,colon,42,-5.087195574219324,False,True,-5.786198388536808,159
skeletal_muscle,colon,101,-3.1741938419844407,False,True,-5.362979715804617,159
skeletal_muscle,heart,17,-4.003609725252952,False,True,-5.456243751795644,159
skeletal_muscle,heart,42,-3.92462329432719,False,True,-5.786198388536808,159
skeletal_muscle,heart,101,-2.3990250584736135,False,True,-5.362979715804617,159
skeletal_muscle,liver,17,-7.44277055504979,False,False,-5.456243751795644,159
skeletal_muscle,liver,42,-7.7569493802568505,False,False,-5.786198388536808,159
skeletal_muscle,liver,101,-6.05340532904509,False,False,-5.362979715804617,159
skeletal_muscle,lung,17,-4.548685449952879,False,False,-5.456243751795644,159
skeletal_muscle,lung,42,-5.5914945581975495,False,False,-5.786198388536808,159
skeletal_muscle,lung,101,-2.446634886708007,False,True,-5.362979715804617,159
skeletal_muscle,skin,17,-4.574677372074069,False,False,-5.456243751795644,159
skeletal_muscle,skin,42,-5.62940843223446,False,False,-5.786198388536808,159
skeletal_muscle,skin,101,-1.130914157620507,False,True,-5.362979715804617,159
skin,adipose,17,-6.370290628144624,False,False,-5.759988471120139,166
skin,adipose,42,-3.8423405406423443,False,False,-4.398984745213273,166
skin,adipose,101,-6.386165290640554,False,False,-6.646221450853911,166
skin,brain,17,-6.321262419128564,False,False,-5.759988471120139,166
skin,brain,42,-3.3376076841499676,False,True,-4.398984745213273,166
skin,brain,101,-9.138777408579411,False,False,-6.646221450853911,166
skin,colon,17,-5.980553915415047,False,False,-5.759988471120139,166
skin,colon,42,-4.694564839596024,False,False,-4.398984745213273,166
skin,colon,101,-5.675332581507372,False,False,-6.646221450853911,166
skin,heart,17,-4.869759365901031,False,True,-5.759988471120139,166
skin,heart,42,-0.3071828698973901,False,True,-4.398984745213273,166
skin,heart,101,-4.835089665092086,False,True,-6.646221450853911,166
skin,liver,17,-4.446169033242992,False,True,-5.759988471120139,166
skin,liver,42,-2.520139377187716,False,True,-4.398984745213273,166
skin,liver,101,-7.83924543234569,False,False,-6.646221450853911,166
skin,lung,17,-2.236440226632278,False,True,-5.759988471120139,166
skin,lung,42,-2.026986483219394,False,True,-4.398984745213273,166
skin,lung,101,-3.304774026736376,False,True,-6.646221450853911,166
skin,skeletal_muscle,17,-4.504238839633614,False,True,-5.759988471120139,166
skin,skeletal_muscle,42,-2.0230444022957395,False,True,-4.398984745213273,166
skin,skeletal_muscle,101,-2.9940865176317852,False,True,-6.646221450853911,166
