id,study,pool,label,route,head,prior_mask_score,matched_mask_score,score_change
GSE298393:GSM9013400,GSE298393,OS,0,original,flight_OS,-5.036729186557295,-0.8254142332616539,4.211314953295641
GSE298393:GSM9013404,GSE298393,YA,1,original,flight_OS,7.981256567613855,11.817726529524862,3.836469961911007
GSE298393:GSM9013405,GSE298393,YA,1,original,flight_OS,6.288171197290694,10.30133379650988,4.013162599219186
GSE298393:GSM9013406,GSE298393,YA,1,original,flight_OS,10.750437858641362,14.446781298441238,3.6963434397998753
GSE298393:GSM9013410,GSE298393,OS,1,original,flight_OS,7.413268625546834,11.400754886469258,3.9874862609224238
GSE298393:GSM9013411,GSE298393,OS,1,original,flight_OS,5.787938503475743,9.77643283461498,3.9884943311392362
GSE298393:GSM9013412,GSE298393,OS,1,original,flight_OS,6.777443391273664,10.661339629580198,3.8838962383065336
GSE234465:GSM7469191,GSE234465,YA,0,harmonized,probe_ncbi,0.371538766536446,-0.8436160700675828,-1.2151548366040288
GSE234465:GSM7469192,GSE234465,YA,0,harmonized,probe_ncbi,1.9785249952233244,0.8011376574698943,-1.17738733775343
GSE234465:GSM7469193,GSE234465,YA,0,harmonized,probe_ncbi,1.6859482406828192,0.4592647980998663,-1.226683442582953
GSE234465:GSM7469194,GSE234465,OS,0,harmonized,probe_ncbi,1.036729999463887,-0.20056921767172753,-1.2372992171356145
GSE234465:GSM7469195,GSE234465,OS,0,harmonized,probe_ncbi,1.0692968211893685,-0.14648285153293727,-1.2157796727223058
GSE234465:GSM7469196,GSE234465,OS,0,harmonized,probe_ncbi,1.8366484746755987,0.6371790594919275,-1.1994694151836711
GSE234465:GSM7469197,GSE234465,YA,1,harmonized,probe_ncbi,1.9758630824882175,0.7834507881725585,-1.192412294315659
GSE234465:GSM7469198,GSE234465,YA,1,harmonized,probe_ncbi,1.4461188886090213,0.26799012789558674,-1.1781287607134345
GSE234465:GSM7469199,GSE234465,YA,1,harmonized,probe_ncbi,5.438268020914052,4.203220215041711,-1.235047805872341
GSE234465:GSM7469200,GSE234465,OS,1,harmonized,probe_ncbi,3.3014563082267614,2.121072850746941,-1.1803834574798202
GSE234465:GSM7469201,GSE234465,OS,1,harmonized,probe_ncbi,3.825812507822093,2.6281621234686554,-1.1976503843534374
GSE234465:GSM7469202,GSE234465,OS,1,harmonized,probe_ncbi,3.7042708892058727,2.468326174727167,-1.2359447144787055
GSE298393:GSM9013395,GSE298393,YA,0,harmonized,probe_ncbi,5.4015112599695385,4.142999330859084,-1.2585119291104547
GSE298393:GSM9013396,GSE298393,YA,0,harmonized,probe_ncbi,6.508657240952289,5.2818824257269625,-1.2267748152253262
