training_pool,id,sample_index,label,reference,k,panel,replicate,signed_score_movement_toward_reference,absolute_logit_change,predicted_IG_change,observed_logit_change,renormalized
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,25,matched_random,12,-0.03065401041885707,0.03065401041885707,-0.03547878881593557,-0.03065401041885707,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,25,matched_random,13,0.03525333993206914,0.03525333993206914,0.03474455055682923,0.03525333993206914,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,25,matched_random,14,-0.056185919732570255,0.056185919732570255,-0.05694207348929166,-0.056185919732570255,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,25,matched_random,15,0.004782882916288145,0.004782882916288145,0.0019131127195088256,0.004782882916288145,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,25,matched_random,16,0.024661113769298026,0.024661113769298026,0.024039147839037836,0.024661113769298026,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,25,matched_random,17,-0.03851897395088599,0.03851897395088599,-0.04294127128347129,-0.03851897395088599,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,25,matched_random,18,0.030692265104562466,0.030692265104562466,0.026917619079098214,0.030692265104562466,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,25,matched_random,19,0.015578291127667399,0.015578291127667399,0.017854148833556228,0.015578291127667399,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,100,top,-1,1.7474993002927022,1.7474993002927022,1.6119162829251152,1.7474993002927022,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,100,top,-1,1.7100209413169978,1.7100209413169978,1.6119162829251152,1.7100209413169978,True
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,100,matched_random,0,-0.08300831936594477,0.08300831936594477,-0.07215421523221997,-0.08300831936594477,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,100,matched_random,1,0.028195770335742054,0.028195770335742054,0.02981571045056984,0.028195770335742054,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,100,matched_random,2,-0.10498539176160193,0.10498539176160193,-0.1029960503910857,-0.10498539176160193,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,100,matched_random,3,0.10566196708691677,0.10566196708691677,0.11350796455500267,0.10566196708691677,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,100,matched_random,4,0.1676868972099328,0.1676868972099328,0.17579830542444164,0.1676868972099328,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,100,matched_random,5,0.11010604551734104,0.11010604551734104,0.11610863697632502,0.11010604551734104,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,100,matched_random,6,-0.03288315453733048,0.03288315453733048,-0.036124210351828764,-0.03288315453733048,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,100,matched_random,7,-0.004579775872116443,0.004579775872116443,-0.005818821253007326,-0.004579775872116443,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,100,matched_random,8,0.06543839349023983,0.06543839349023983,0.06892484285537165,0.06543839349023983,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,100,matched_random,9,-0.00029584755429823417,0.00029584755429823417,-0.010068052867635008,-0.00029584755429823417,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,100,matched_random,10,0.052780019716465176,0.052780019716465176,0.048137532354282156,0.052780019716465176,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,100,matched_random,11,-0.00926446998528263,0.00926446998528263,-0.014915478953973396,-0.00926446998528263,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,100,matched_random,12,0.0967250677094853,0.0967250677094853,0.10165329374798947,0.0967250677094853,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,100,matched_random,13,0.16824899656216985,0.16824899656216985,0.16835463164430653,0.16824899656216985,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,100,matched_random,14,0.1449291631961387,0.1449291631961387,0.1420231348198885,0.1449291631961387,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,100,matched_random,15,-0.006426841146549123,0.006426841146549123,-0.007152166631361985,-0.006426841146549123,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,100,matched_random,16,-0.07663131990602778,0.07663131990602778,-0.07826281940641226,-0.07663131990602778,False
OS,GSE298393:GSM9013397,2,0,training_ground_mean_TPM,100,matched_random,17,0.04131138208799712,0.04131138208799712,0.03998416004462082,0.04131138208799712,False
