model,training_pool,id,k,top_signed_movement,random_signed_median,random_fraction_less_than_top,top_absolute_change,random_absolute_median,top_fraction_of_reference_gap,random_fraction_of_reference_gap
expression,YA,GSE298393:GSM9013398,100,0.0201777649114627,-0.0047842952129335,0.8,0.0201777649114627,0.021822680098311,0.016295135869073545,-0.003863695551741766
expression,YA,GSE298393:GSM9013399,25,-0.0360979247321351,-0.0097706794262168,0.05,0.0360979247321351,0.0156928407525131,-0.024536046624795634,-0.006641208538621916
expression,YA,GSE298393:GSM9013399,100,-0.0933644836534143,0.000715009395073,0.0,0.0933644836534143,0.0218743157556678,-0.0634605823193163,0.00048599757423341484
expression,YA,GSE298393:GSM9013400,25,0.062318881620178,0.0061491382129083,1.0,0.062318881620178,0.0061491382129083,0.033320971315914966,0.0032878519749233075
expression,YA,GSE298393:GSM9013400,100,0.1659572842096446,0.0095391686874549,1.0,0.1659572842096446,0.0146000166158952,0.08873487076549562,0.005100450424473632
expression,YA,GSE298393:GSM9013410,25,0.063296798447944,0.0152595688799551,1.0,0.063296798447944,0.0152595688799551,0.004690622781715002,0.0011308136143146686
expression,YA,GSE298393:GSM9013410,100,0.506922466300992,0.0711214078200957,1.0,0.506922466300992,0.0711214078200957,0.03756559774425405,0.005270467132124286
expression,YA,GSE298393:GSM9013411,25,0.2041752472795102,0.0147649045353843,1.0,0.2041752472795102,0.0147649045353843,0.01655824480231879,0.00119740716388149
expression,YA,GSE298393:GSM9013411,100,0.5755805968376471,0.0619668304211813,1.0,0.5755805968376471,0.0619668304211813,0.046678549691458855,0.005025398335054028
expression,YA,GSE298393:GSM9013412,25,0.1390111111950859,0.0168421733490271,1.0,0.1390111111950859,0.0168421733490271,0.010813491883444284,0.0013101305589427177
expression,YA,GSE298393:GSM9013412,100,0.4884026059606588,0.0729286244655855,1.0,0.4884026059606588,0.0729286244655855,0.037992197674018145,0.005673021976082461
