model,training_pool,reference,pathway,n_genes,signed_sum,mean_absolute_contribution,absolute_mass_fraction,positive_fraction
bridge,YA,training_all_mean_TPM,Apoptosis,147,0.7250854085386447,0.011597949031487228,0.019811689688455567,0.47619047619047616
bridge,YA,training_all_mean_TPM,Notch Signaling,32,-0.009282620763548173,0.0032081815769063413,0.0011929765452944347,0.4375
bridge,YA,training_all_mean_TPM,Adipogenesis,189,0.48706571442237656,0.008193771804421695,0.017995696299880647,0.544973544973545
bridge,YA,training_all_mean_TPM,Estrogen Response Early,190,0.5265874305293148,0.007648726790760984,0.016887514530826816,0.5
bridge,YA,training_all_mean_TPM,Estrogen Response Late,185,0.3323521498741815,0.005973860480232729,0.012842506381571498,0.4810810810810811
bridge,YA,training_all_mean_TPM,Androgen Response,93,0.35559100394666804,0.012081825970166342,0.013056852880417281,0.5376344086021505
bridge,YA,training_all_mean_TPM,Myogenesis,190,0.7675491491670496,0.01395626727463324,0.03081384298902677,0.5473684210526316
bridge,YA,training_all_mean_TPM,Protein Secretion,92,-0.10839282151765528,0.006047719087816702,0.006465504584952312,0.5652173913043478
bridge,YA,training_all_mean_TPM,Interferon Alpha Response,71,0.13566435669754723,0.003523105772941847,0.0029067455558543717,0.5774647887323944
bridge,YA,training_all_mean_TPM,Interferon Gamma Response,154,0.21868750638789564,0.0050640401477735665,0.009062350336640344,0.5324675324675324
bridge,YA,training_all_mean_TPM,Apical Junction,188,0.5373471739535763,0.00917201003074642,0.020037584031112828,0.48404255319148937
bridge,YA,training_all_mean_TPM,Apical Surface,44,0.19638208125744697,0.0062575533832778755,0.003199486088165352,0.6136363636363636
bridge,YA,training_all_mean_TPM,Hedgehog Signaling,36,0.16317116737578294,0.011737647289309799,0.004910283216391948,0.5277777777777778
bridge,YA,training_all_mean_TPM,Complement,169,-0.04697112250973018,0.005513608958925311,0.010827935309023916,0.4970414201183432
bridge,YA,training_all_mean_TPM,Unfolded Protein Response,102,0.029967804029750536,0.0066553986148302985,0.00788855086390228,0.5
bridge,YA,training_all_mean_TPM,PI3K/AKT/mTOR  Signaling,101,-0.08170686766651032,0.0072170390778602414,0.008470390197460482,0.504950495049505
bridge,YA,training_all_mean_TPM,mTORC1 Signaling,179,-0.10293468147319486,0.008348284102766048,0.017364938022390513,0.44692737430167595
bridge,YA,training_all_mean_TPM,E2F Targets,189,0.09452652030476982,0.007500694513510194,0.016473514728646655,0.5079365079365079
bridge,YA,training_all_mean_TPM,Myc Targets V1,175,0.5034160330491576,0.012744784418513483,0.025917525154904655,0.52
bridge,YA,training_all_mean_TPM,Myc Targets V2,54,0.0021819547080349526,0.00514481491702266,0.0032283937806055164,0.5370370370370371
bridge,YA,training_all_mean_TPM,Epithelial Mesenchymal Transition,188,0.9636920040916711,0.012673560233162608,0.027687227477301322,0.4734042553191489
bridge,YA,training_all_mean_TPM,Inflammatory Response,177,0.07885852542438337,0.0039052088019014748,0.008032310941214604,0.4915254237288136
bridge,YA,training_all_mean_TPM,Xenobiotic Metabolism,179,0.20550429605373322,0.005265528409595813,0.010952618928897293,0.5251396648044693
bridge,YA,training_all_mean_TPM,Fatty Acid Metabolism,137,-0.1225099837196449,0.00524283726426877,0.00834660634446777,0.43795620437956206
bridge,YA,training_all_mean_TPM,Oxidative Phosphorylation,173,-0.027008181816878918,0.007210132225385517,0.014494803051772863,0.5202312138728323
bridge,YA,training_all_mean_TPM,Glycolysis,183,0.3478397404472997,0.006404274359970579,0.013618961902370727,0.5300546448087432
bridge,YA,training_all_mean_TPM,Reactive Oxygen Species Pathway,43,0.0588474407395149,0.005557985628766986,0.0027772109021885305,0.3953488372093023
bridge,YA,training_all_mean_TPM,p53 Pathway,186,0.48107740182121045,0.006715553437938159,0.01451502338574602,0.5483870967741935
bridge,YA,training_all_mean_TPM,UV Response Up,136,0.4301420512031573,0.008417813980940573,0.013303356186369342,0.5955882352941176
bridge,YA,training_all_mean_TPM,UV Response Dn,140,0.61044504866378,0.009839874636308523,0.01600812944546487,0.5928571428571429
bridge,YA,training_all_mean_TPM,Angiogenesis,34,0.08366011872638013,0.0086727958546289,0.0034265811957543387,0.47058823529411764
bridge,YA,training_all_mean_TPM,heme Metabolism,177,0.08595205395567618,0.007619939283380523,0.01567284229398613,0.5084745762711864
bridge,YA,training_all_mean_TPM,Coagulation,123,-0.04981055501477741,0.005184233303902206,0.007409904922009789,0.4959349593495935
bridge,YA,training_all_mean_TPM,IL-2/STAT5 Signaling,180,-0.2580766927408181,0.005127218107528279,0.01072450568654692,0.40555555555555556
bridge,YA,training_all_mean_TPM,Bile Acid Metabolism,106,0.023464754074829654,0.005582459151578391,0.006876293503076961,0.4811320754716981
bridge,YA,training_all_mean_TPM,Pperoxisome,93,-0.3830436426874299,0.008568323330514582,0.00925980372789922,0.4946236559139785
bridge,YA,training_all_mean_TPM,Allograft Rejection,161,0.14697206755857367,0.004989388808377655,0.009334610711815045,0.4658385093167702
bridge,YA,training_all_mean_TPM,Spermatogenesis,127,0.03473690272154153,0.004628117981194853,0.006830163955853957,0.4330708661417323
bridge,YA,training_all_mean_TPM,KRAS Signaling Up,189,-0.09485111891466559,0.006779528793171442,0.01488964351586801,0.5185185185185185
bridge,YA,training_all_mean_TPM,KRAS Signaling Dn,176,0.5435954434325393,0.006049314375890671,0.012372054062102051,0.44886363636363635
bridge,YA,training_all_mean_TPM,Pancreas Beta Cells,39,-0.042148460152865684,0.0027546863885750217,0.00124841723735182,0.3076923076923077
bridge,YA,training_ground_mean_TPM,TNF-alpha Signaling via NF-kB,183,0.163022139557061,0.0066322467548114074,0.014109133041053276,0.5081967213114754
bridge,YA,training_ground_mean_TPM,Hypoxia,184,0.7453076476808729,0.009373255331179378,0.020049190092830585,0.5163043478260869
bridge,YA,training_ground_mean_TPM,Cholesterol Homeostasis,70,0.11607786658748181,0.005234665663932822,0.004259666041625228,0.5
bridge,YA,training_ground_mean_TPM,Mitotic Spindle,196,-0.1055977508152556,0.006894112903115062,0.015708077156489426,0.4897959183673469
bridge,YA,training_ground_mean_TPM,Wnt-beta Catenin Signaling,40,0.02447700903254362,0.008039842429075295,0.003738488865663818,0.375
bridge,YA,training_ground_mean_TPM,TGF-beta Signaling,50,0.1178801160769087,0.00633322612263273,0.0036811504006548173,0.62
bridge,YA,training_ground_mean_TPM,IL-6/JAK/STAT3 Signaling,71,0.13914737621033207,0.004427626056921513,0.0036544148443870043,0.4507042253521127
bridge,YA,training_ground_mean_TPM,DNA Repair,136,0.09186992309220768,0.006210367531005288,0.009818491623678085,0.5735294117647058
bridge,YA,training_ground_mean_TPM,G2-M Checkpoint,184,-0.0725658613913575,0.005914948135076771,0.012651945920528606,0.4782608695652174
bridge,YA,training_ground_mean_TPM,Apoptosis,147,0.7235379996968849,0.011607665079508982,0.01983584776294009,0.4897959183673469
bridge,YA,training_ground_mean_TPM,Notch Signaling,32,-0.01021670600883684,0.003166607509032092,0.0011779660627807109,0.4375
bridge,YA,training_ground_mean_TPM,Adipogenesis,189,0.4869643896711733,0.008241010744131708,0.01810634734797876,0.5343915343915344
bridge,YA,training_ground_mean_TPM,Estrogen Response Early,190,0.5171558806010852,0.0076346857379377886,0.016862941333811242,0.4789473684210526
bridge,YA,training_ground_mean_TPM,Estrogen Response Late,185,0.320704142977711,0.005937595822997342,0.01276941268671579,0.4864864864864865
bridge,YA,training_ground_mean_TPM,Androgen Response,93,0.36954971021650257,0.012106589554267291,0.013088604068931387,0.5376344086021505
bridge,YA,training_ground_mean_TPM,Myogenesis,190,0.7685803987791646,0.013990099453413403,0.03090031920564918,0.5473684210526316
bridge,YA,training_ground_mean_TPM,Protein Secretion,92,-0.09927100068963118,0.005936748904963054,0.006349288647513653,0.5869565217391305
bridge,YA,training_ground_mean_TPM,Interferon Alpha Response,71,0.13328304249472972,0.003457829744920115,0.0028539773202945077,0.5915492957746479
bridge,YA,training_ground_mean_TPM,Interferon Gamma Response,154,0.21729804748061515,0.005050795227942894,0.009042094577424354,0.5194805194805194
bridge,YA,training_ground_mean_TPM,Apical Junction,188,0.5134545807587552,0.008979649559934516,0.019624825350690944,0.48404255319148937
bridge,YA,training_ground_mean_TPM,Apical Surface,44,0.19314511391807695,0.006198820732498417,0.003170664691806955,0.6136363636363636
bridge,YA,training_ground_mean_TPM,Hedgehog Signaling,36,0.17287363539268558,0.011645001450354032,0.0048733837487677295,0.5277777777777778
bridge,YA,training_ground_mean_TPM,Complement,169,-0.04371639869629612,0.005506246278478636,0.010817599532932064,0.5029585798816568
bridge,YA,training_ground_mean_TPM,Unfolded Protein Response,102,0.027692511209592704,0.006713442084925508,0.007960383328499125,0.5098039215686274
bridge,YA,training_ground_mean_TPM,PI3K/AKT/mTOR  Signaling,101,-0.07914557461886047,0.007233353869768443,0.00849277559650889,0.504950495049505
bridge,YA,training_ground_mean_TPM,mTORC1 Signaling,179,-0.10364206850485272,0.008348961956947527,0.017372970256671248,0.4581005586592179
bridge,YA,training_ground_mean_TPM,E2F Targets,189,0.11481805025371114,0.007585995502416195,0.016667211560761563,0.5343915343915344
bridge,YA,training_ground_mean_TPM,Myc Targets V1,175,0.5189015899151727,0.01282671471289725,0.02609408346009521,0.5142857142857142
bridge,YA,training_ground_mean_TPM,Myc Targets V2,54,0.002261364864291653,0.005233509322781283,0.003285302203447726,0.5370370370370371
bridge,YA,training_ground_mean_TPM,Epithelial Mesenchymal Transition,188,0.9641339921299436,0.01266563358617546,0.027680461851603867,0.4787234042553192
