training_pool,id,sample_index,label,reference,k,panel,replicate,signed_score_movement_toward_reference,absolute_logit_change,observed_logit_change,renormalized
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,100,matched_random,7,0.03895396847803918,0.03895396847803918,0.03895396847803918,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,100,matched_random,8,0.03458315509470392,0.03458315509470392,0.03458315509470392,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,100,matched_random,9,0.022187762607655766,0.022187762607655766,0.022187762607655766,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,100,matched_random,10,-0.00580648840079362,0.00580648840079362,-0.00580648840079362,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,100,matched_random,11,0.020142901679504114,0.020142901679504114,0.020142901679504114,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,100,matched_random,12,0.008718857629191801,0.008718857629191801,0.008718857629191801,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,100,matched_random,13,0.025605144796067486,0.025605144796067486,0.025605144796067486,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,100,matched_random,14,0.008537165938994748,0.008537165938994748,0.008537165938994748,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,100,matched_random,15,-0.02057498505590299,0.02057498505590299,-0.02057498505590299,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,100,matched_random,16,0.02110955671731798,0.02110955671731798,0.02110955671731798,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,100,matched_random,17,-0.002292245957592391,0.002292245957592391,-0.002292245957592391,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,100,matched_random,18,0.010359479745718068,0.010359479745718068,0.010359479745718068,False
YA,GSE298393:GSM9013400,5,0,training_ground_mean_TPM,100,matched_random,19,0.013972205288749462,0.013972205288749462,0.013972205288749462,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,25,top,-1,0.06329679844794403,0.06329679844794403,0.06329679844794403,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,25,matched_random,0,0.005192830579883191,0.005192830579883191,0.005192830579883191,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,25,matched_random,1,0.028520509300177167,0.028520509300177167,0.028520509300177167,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,25,matched_random,2,0.0237553508353355,0.0237553508353355,0.0237553508353355,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,25,matched_random,3,0.014200361509254487,0.014200361509254487,0.014200361509254487,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,25,matched_random,4,0.010827643117827178,0.010827643117827178,0.010827643117827178,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,25,matched_random,5,0.011198018602910897,0.011198018602910897,0.011198018602910897,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,25,matched_random,6,0.012561875315122055,0.012561875315122055,0.012561875315122055,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,25,matched_random,7,0.014809346399984009,0.014809346399984009,0.014809346399984009,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,25,matched_random,8,0.016361817614128887,0.016361817614128887,0.016361817614128887,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,25,matched_random,9,0.022326146772455313,0.022326146772455313,0.022326146772455313,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,25,matched_random,10,0.018776899115044616,0.018776899115044616,0.018776899115044616,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,25,matched_random,11,0.00911922295771771,0.00911922295771771,0.00911922295771771,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,25,matched_random,12,0.021191308750351332,0.021191308750351332,0.021191308750351332,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,25,matched_random,13,0.020103363544613867,0.020103363544613867,0.020103363544613867,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,25,matched_random,14,0.00983129205498346,0.00983129205498346,0.00983129205498346,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,25,matched_random,15,0.01924025133630427,0.01924025133630427,0.01924025133630427,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,25,matched_random,16,0.016962548193684545,0.016962548193684545,0.016962548193684545,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,25,matched_random,17,0.0157097913599262,0.0157097913599262,0.0157097913599262,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,25,matched_random,18,0.0011597862821477848,0.0011597862821477848,0.0011597862821477848,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,25,matched_random,19,0.011967263504768596,0.011967263504768596,0.011967263504768596,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,100,top,-1,0.506922466300992,0.506922466300992,0.506922466300992,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,100,matched_random,0,0.07744138795716501,0.07744138795716501,0.07744138795716501,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,100,matched_random,1,0.05962126949811666,0.05962126949811666,0.05962126949811666,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,100,matched_random,2,0.09636889426529047,0.09636889426529047,0.09636889426529047,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,100,matched_random,3,0.07139116189005039,0.07139116189005039,0.07139116189005039,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,100,matched_random,4,0.05801974898541078,0.05801974898541078,0.05801974898541078,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,100,matched_random,5,0.07808937040091898,0.07808937040091898,0.07808937040091898,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,100,matched_random,6,0.07958712770290467,0.07958712770290467,0.07958712770290467,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,100,matched_random,7,0.06435625664660694,0.06435625664660694,0.06435625664660694,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,100,matched_random,8,0.0708516537501412,0.0708516537501412,0.0708516537501412,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,100,matched_random,9,0.07968663125823328,0.07968663125823328,0.07968663125823328,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,100,matched_random,10,0.0431498913566545,0.0431498913566545,0.0431498913566545,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,100,matched_random,11,0.059112960264240746,0.059112960264240746,0.059112960264240746,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,100,matched_random,12,0.05184826854717199,0.05184826854717199,0.05184826854717199,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,100,matched_random,13,0.06974406849864717,0.06974406849864717,0.06974406849864717,False
YA,GSE298393:GSM9013410,9,1,training_ground_mean_TPM,100,matched_random,14,0.05508757405828792,0.05508757405828792,0.05508757405828792,False
